,
,CPU,Memory,
Time,%CPU,RAM used
0,108,280124
1,109,286348
2,119,294456
3,115,300620
4,117,303796
5,122,310244
6,107,317320
7,101,321728
8,105,324552
9,102,327816
10,106,331364
11,105,335172
12,108,341880
13,110,353712
14,106,365944
15,111,379584
16,104,398268
17,100,398816
18,100,398816
19,35,398816
20,6,398816
21,6,398816
22,5,398816
23,6,398816
24,8,398832
25,5,398832
26,6,398832
27,5,398832
28,5,398832
29,7,398832
30,27,398832
31,103,402720
32,104,405056
33,101,408924
34,104,411304
35,100,411564
36,103,413008
37,102,415436
38,108,417676
39,106,423848
40,106,426720
41,107,431668
42,105,433984
43,105,433988
44,107,438108
45,107,445280
46,106,447984
47,109,453260
48,109,460312
49,111,462944
50,110,472428
51,112,478296
52,109,483352
53,63,487696
54,82,495492
55,108,504972
56,109,513904
57,110,520224
58,109,532088
59,109,543588
60,109,557084
61,101,569960
62,103,572528
63,104,580288
64,104,588004
65,103,590976
66,104,593032
67,103,599056
68,108,608220
69,109,623740
70,103,638168
71,100,638780
72,100,638780
73,22,638780
74,6,638780
75,5,638780
76,5,638780
77,5,638780
78,6,638780
79,6,638780
80,5,638780
81,6,638780
82,5,638780
83,6,638780
84,6,638780
85,5,638780
86,6,638780
87,5,638780
88,5,638780
89,6,638780
90,53,638788
91,102,643844
92,106,650572
93,105,660576
94,102,665188
95,103,667660
96,103,668424
97,105,673864
98,109,683004
99,112,693388
100,113,711852
101,110,726172
102,109,738984
103,100,745424
104,100,745956
105,100,745956
106,97,744552
107,8,744552
108,6,744552
109,8,744552
110,9,744536
111,5,744536
112,6,744536
113,5,744536
114,7,744536
115,6,744536
116,5,744536
117,6,744536
118,5,744536
119,6,744536
120,52,744536
121,106,753960
122,105,763728
123,102,769592
124,106,776972
125,103,782716
126,104,786252
127,106,793928
128,108,801688
129,109,818568
130,109,832936
131,108,849428
132,108,865344
133,106,880924
134,100,888544
135,100,888544
136,35,888544
137,4,888544
138,7,888544
139,5,888544
140,5,888544
141,6,888544
142,5,888544
143,6,888544
144,6,888544
145,5,888544
146,5,888544
147,6,888544
148,5,888544
149,6,888544
150,46,888564
151,102,892544
152,103,901692
153,106,909552
154,106,918628
155,103,923800
156,106,929976
157,106,941636
158,108,958732
159,100,966564
160,95,966564
161,6,966564
162,6,966564
163,5,966564
164,6,966564
165,5,966564
166,5,966564
167,5,966564
168,6,966564
169,5,966564
170,10,966560
171,5,966560
172,5,966560
173,5,966560
174,6,966560
175,6,966560
176,5,966560
177,5,966560
178,6,966560
179,5,966560
180,70,968324
181,107,976052
182,102,982688
183,105,988444
184,105,997036
185,105,1003140
186,104,1008524
187,109,1016756
188,109,1031424
189,106,1044008
190,106,1053216
191,108,1056376
192,100,1059532
193,84,1059532
194,8,1059532
195,5,1059532
196,5,1059532
197,6,1059532
198,6,1059532
199,5,1059532
200,5,1059532
201,6,1059532
202,6,1059532
203,5,1059532
204,5,1059532
205,5,1059532
206,6,1059532
207,6,1059532
208,5,1059532
209,5,1059532
210,73,1060052
211,100,1062064
212,102,1062012
213,108,1062676
214,106,1062684
215,103,1063020
216,103,1063824
217,104,1066160
218,107,1069480
219,111,1070664
220,109,1071340
221,108,1072256
222,109,1073600
223,109,1074224
224,109,1078076
225,110,1080168
226,108,1080492
227,109,1080540
228,109,1081568
229,117,1085460
230,111,1085412
231,100,1085412
232,101,1085412
233,99,1085412
234,91,1085412
235,37,1085412
236,100,1085412
237,100,1085412
238,101,1085412
239,99,1085412
