,
,CPU,Memory,
Time,%CPU,RAM used
0,108,269724
1,112,275516
2,117,289752
3,118,292924
4,119,299656
5,110,306060
6,109,308776
7,105,313192
8,100,317388
9,102,319840
10,83,320012
11,107,328664
12,107,346332
13,102,355884
14,99,355884
15,89,355884
16,6,355884
17,5,355884
18,6,355884
19,5,355884
20,6,355884
21,5,355884
22,6,355884
23,8,355884
24,6,355908
25,5,355908
26,5,355908
27,6,355908
28,6,355908
29,4,355908
30,6,355908
31,6,355908
32,5,355908
33,6,355908
34,4,355908
35,7,355908
36,5,355908
37,5,355908
38,6,355908
39,5,355908
40,6,355908
41,6,355908
42,5,355908
43,5,355908
44,5,355908
45,6,355908
46,6,355908
47,5,355908
48,6,355908
49,5,355908
50,5,355908
51,6,355908
52,6,355908
53,12,355908
54,5,355908
55,6,355908
56,6,355908
57,5,355908
58,5,355908
59,6,355908
60,40,355908
61,103,356892
62,103,362568
63,105,371116
64,106,378664
65,101,388044
66,99,389548
67,99,389856
68,101,389856
69,54,389856
70,6,389856
71,5,389856
72,7,389856
73,5,389856
74,5,389856
75,5,389856
76,6,389856
77,5,389856
78,6,389856
79,5,389856
80,6,389856
81,5,389856
82,6,389856
83,5,389856
84,6,389856
85,6,389856
86,5,389856
87,5,389856
88,6,389856
89,6,389856
90,5,389856
91,5,389856
92,6,389856
93,5,389856
94,6,389856
95,5,389856
96,6,389856
97,5,389856
98,6,389856
99,5,389856
100,6,389856
101,5,389856
102,5,389856
103,6,389856
104,5,389856
105,5,389856
106,7,389856
107,5,389856
108,6,389856
109,4,389856
110,19,389832
111,6,389832
112,5,389832
113,14,389832
114,6,389832
115,5,389832
116,6,389832
117,5,389832
118,6,389832
119,4,389832
120,33,389832
121,98,388616
122,104,391976
123,104,397680
124,104,398952
125,103,401624
126,106,404508
127,107,410024
128,109,418512
129,113,426540
130,118,441816
131,116,473408
132,107,502104
133,100,502104
134,99,502104
135,20,502104
136,6,502104
137,6,502104
138,5,502104
139,6,502104
140,5,502104
141,5,502104
142,6,502104
143,5,502104
144,6,502104
145,5,502104
146,5,502104
147,6,502104
148,6,502104
149,5,502104
150,5,502104
151,6,502104
152,6,502104
153,5,502104
154,5,502104
155,6,502104
156,6,502104
157,6,502104
158,5,502104
159,5,502104
160,6,502104
161,5,502104
162,5,502104
163,6,502104
164,5,502104
165,5,502104
166,6,502104
167,5,502104
168,6,502104
