
,TCP,
interval,frames,Bytes
1,565,528036
2,343,290549
3,368,288868
4,392,296528
5,652,522108
6,267,190019
7,65,38346
8,213,167818
9,245,235174
10,386,371466
11,392,375984
12,73,54974
13,75,53895
14,62,40628
15,257,233378
16,309,288017
17,284,253848
18,326,283090
19,400,374444
20,398,383885
21,398,385933
22,244,216716
23,235,219584
24,271,254243
25,268,248432
26,260,244398
27,511,491278
28,577,560921
29,556,534346
30,561,477864
31,578,499605
32,593,560665
33,513,487734
34,506,487813
35,381,356880
36,476,424333
37,375,333479
38,460,402546
39,419,380950
40,422,405436
41,296,284561
42,401,375169
43,485,468605
44,359,335601
45,702,668770
46,523,500147
47,623,599331
48,417,383641
49,593,573229
50,499,476662
51,406,388555
52,396,353797
53,205,182876
54,166,149318
55,318,291926
56,327,290141
57,323,293359
58,617,580284
59,397,366418
60,226,203903
61,109,79604
62,160,147391
63,453,424764
64,174,155901
65,62,38636
66,205,188906
67,285,267597
68,476,437081
69,367,344476
70,322,289353
71,472,450227
72,417,400191
73,478,465532
74,406,392850
75,424,394596
76,496,447450
77,348,297119
78,265,234063
79,312,284923
80,319,284016
81,326,304960
82,423,389231
83,395,354961
84,464,450421
85,461,428116
86,568,547665
87,561,522381
88,650,624091
89,617,600689
90,506,480483
91,371,338058
92,405,379990
93,494,461556
94,473,451136
95,393,355119
96,544,518395
97,345,301951
98,18,11313
99,3,198
100,0,0
101,19,1224
102,13,828
103,5,300
104,0,0
105,0,0
106,2,132
107,0,0
108,57,3762
109,0,0
110,0,0
111,0,0
112,10,1963
113,5,300
114,5,300
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,223,199404
121,129,118994
122,327,307045
123,308,290192
124,76,56999
125,240,222474
126,358,331609
127,402,383075
128,282,261666
129,203,188755
130,331,290458
131,362,349857
132,346,330595
133,358,311994
134,38,27570
135,5,300
136,14,894
137,6,396
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,5,300
146,5,300
147,5,300
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,2,132
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,4,264
172,7,456
173,7,456
174,11,720
175,1,60
176,3,162
177,1,60
178,5,324
179,1,60
180,161,120944
181,188,172131
182,285,251985
183,223,211219
184,162,144118
185,39,25287
186,114,93100
187,383,364069
188,297,276776
189,246,234414
190,543,506803
191,374,356144
192,490,466086
193,477,464992
194,547,516032
195,528,515028
196,624,584128
197,452,414915
198,401,355745
199,230,205316
200,441,426052
201,640,608742
202,761,730449
203,327,315801
204,0,0
205,0,0
206,2,132
207,0,0
208,0,0
209,0,0
210,6,378
211,0,0
212,5,300
213,5,300
214,5,300
215,0,0
216,2,132
217,6,396
218,7,462
219,5,330
220,0,0
221,2,102
222,0,0
223,4,264
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,6,396
232,9,588
233,12,2119
234,1,60
235,1,60
236,1,60
237,5,324
238,1,60
239,32,20664
240,263,211995
241,87,56943
242,163,150430
243,354,326623
244,196,176081
245,52,36577
246,307,296566
247,332,310344
248,237,223188
249,331,304968
250,418,388962
251,393,356717
252,481,450355
253,455,428912
254,486,464475
255,467,456925
256,403,380011
257,459,432576
258,452,419599
259,504,470487
260,364,343259
261,120,109364
262,5,300
263,5,300
264,0,0
265,2,102
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,5,300
273,5,300
274,5,300
275,0,0
276,0,0
277,0,0
278,2,132
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,1,60
293,1,60
294,1,60
295,1,60
296,1,60
297,1,60
298,1,60
299,1,60
300,57,37293
301,182,156949
302,306,283896
303,347,324761
304,146,128725
305,49,34182
306,242,228050
307,307,297703
308,336,312182
309,353,326600
310,336,290364
311,390,369911
312,466,431168
313,507,492232
314,329,314484
315,416,392522
316,677,661431
317,407,398884
318,0,0
319,0,0
320,0,0
321,5,300
322,5,300
323,7,432
324,0,0
325,0,0
326,0,0
327,0,0
328,2,102
329,0,0
330,0,0
331,0,0
332,5,300
333,5,300
334,5,300
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,1,60
353,1,60
354,1,60
355,1,60
356,1,60
357,1,60
358,1,60
359,1,60
360,173,139198
361,232,205893
362,159,143096
363,298,273838
364,297,261614
365,305,282519
366,120,102663
367,142,122504
368,409,385861
369,405,377627
370,505,469558
371,487,453449
372,414,389985
373,270,243952
374,441,404663
375,414,400504
376,381,365246
377,524,505028
378,224,204628
379,587,545510
380,635,587309
381,81,65286
382,5,300
383,5,300
384,0,0
385,0,0
386,2,102
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,5,300
393,5,300
394,5,300
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,5,300
404,5,300
405,5,300
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,1,60
413,3,192
414,1,60
415,1,60
416,1,60
417,1,60
418,3,162
419,8,498
420,31,12769
421,94,74141
422,312,298559
423,290,269396
424,202,189608
425,216,208432
426,248,240721
427,325,313878
428,296,279278
429,677,653729
430,349,329854
431,484,464110
432,410,390158
433,431,413647
434,458,439910
435,425,412359
436,415,385374
437,409,388298
438,480,450658
439,327,301750
440,294,277250
441,184,151832
442,477,414430
443,481,440270
444,236,196918
445,494,472270
446,560,519950
447,493,469717
448,455,429579
449,591,545034
450,383,358857
451,368,347641
452,227,203436
453,5,300
454,5,300
455,0,0
456,0,0
457,0,0
458,2,132
459,0,0
460,0,0
461,0,0
462,0,0
463,7,402
464,5,300
465,5,300
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,2,132
474,19,7181
