
,TCP,
interval,frames,Bytes
1,106,23194
2,138,27322
3,213,60043
4,207,39821
5,245,64727
6,168,50164
7,145,36827
8,128,35209
9,159,43935
10,155,48356
11,211,55413
12,248,55273
13,194,48670
14,244,65359
15,231,64136
16,209,40786
17,159,49636
18,215,91472
19,198,79678
20,233,103804
21,200,74790
22,222,72173
23,86,20657
24,0,0
25,0,0
26,0,0
27,0,0
28,6,524
29,0,0
30,3,262
31,0,0
32,0,0
33,3,262
34,0,0
35,0,0
36,0,0
37,0,0
38,6,524
39,0,0
40,3,262
41,0,0
42,3,198
43,13,1625
44,0,0
45,0,0
46,0,0
47,0,0
48,6,524
49,0,0
50,3,262
51,0,0
52,0,0
53,3,262
54,0,0
55,0,0
56,0,0
57,0,0
58,6,524
59,0,0
60,83,15304
61,251,66045
62,245,84850
63,271,77862
64,257,81212
65,212,55104
66,230,57763
67,202,59863
68,228,63132
69,209,65951
70,252,81106
71,232,68940
72,248,45446
73,275,73934
74,248,50084
75,258,81832
76,238,49178
77,253,70894
78,238,38292
79,298,81282
80,251,65610
81,243,54692
82,273,62956
83,237,63752
84,234,48284
85,212,40670
86,231,58252
87,278,83818
88,258,60578
89,231,37734
90,236,63078
91,227,57594
92,224,51874
93,207,34684
94,213,65656
95,236,58320
96,224,46812
97,205,54622
98,270,57037
99,169,80258
100,183,77444
101,192,58560
102,293,56733
103,134,37075
104,66,23131
105,0,0
106,0,0
107,0,0
108,6,524
109,0,0
110,3,262
111,0,0
112,0,0
113,3,262
114,0,0
115,0,0
116,0,0
117,0,0
118,6,524
119,0,0
120,172,45828
121,217,41297
122,219,57275
123,239,65025
124,229,73639
125,208,76582
126,208,40782
127,212,61390
128,219,67300
129,238,74716
130,211,41116
131,162,55300
132,134,41748
133,92,31334
134,60,22512
135,0,0
136,0,0
137,0,0
138,6,524
139,0,0
140,3,262
141,0,0
142,0,0
143,3,262
144,0,0
145,0,0
146,0,0
147,0,0
148,6,524
149,0,0
150,3,262
151,0,0
152,0,0
153,3,262
154,0,0
155,0,0
156,0,0
157,0,0
158,6,524
159,0,0
160,3,262
161,6,396
162,0,0
163,15,1054
164,0,0
165,3,198
166,0,0
167,0,0
168,6,524
169,0,0
170,3,262
171,0,0
172,0,0
173,3,262
174,0,0
175,0,0
176,0,0
177,0,0
178,3,262
179,3,262
180,79,9648
181,254,81582
182,225,68165
183,205,50574
184,192,59025
185,236,84585
186,214,51628
187,240,69954
188,238,64670
189,218,52126
190,244,70348
191,221,42332
192,184,32860
193,173,61490
194,186,53182
195,156,54462
196,65,27937
197,0,0
198,3,262
199,3,262
200,0,0
201,3,262
202,0,0
203,3,262
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,6,524
210,0,0
211,3,262
212,0,0
213,3,262
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,6,524
220,0,0
221,3,262
222,0,0
223,3,262
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,6,524
230,0,0
231,3,262
232,0,0
233,3,262
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,6,524
240,94,16634
241,246,55179
242,220,57167
243,221,56674
244,220,62049
245,189,48128
246,241,54140
247,258,71864
248,256,76598
249,243,49506
250,236,43894
251,245,50106
252,246,50122
253,241,84634
254,180,51844
255,178,46754
256,177,41374
257,182,52194
258,201,49477
259,122,25002
260,8,1000
261,3,262
262,0,0
263,3,262
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,6,524
270,0,0
271,3,262
272,0,0
273,3,262
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,6,524
280,0,0
281,3,262
282,0,0
283,3,262
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,6,524
290,0,0
291,3,262
292,0,0
293,3,262
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,6,524
300,16,1988
301,231,63314
302,261,72172
303,235,54058
304,235,38864
305,257,76760
306,230,48502
307,239,70738
308,216,56360
309,98,21974
310,0,0
311,3,262
312,0,0
313,3,262
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,9,722
320,0,0
321,6,460
322,0,0
323,0,0
324,3,262
325,0,0
326,0,0
327,0,0
328,0,0
329,6,524
330,0,0
331,3,262
332,0,0
333,0,0
334,3,262
335,0,0
336,0,0
337,0,0
338,0,0
339,6,524
340,0,0
341,3,262
342,0,0
343,0,0
344,3,262
345,0,0
346,0,0
347,0,0
348,0,0
349,6,524
350,0,0
351,3,262
352,0,0
353,0,0
354,3,262
355,0,0
356,0,0
357,0,0
358,0,0
359,6,524
360,94,16650
361,260,82060
362,258,76617
363,246,75605
364,213,71322
365,224,62406
366,189,43630
367,235,58991
368,212,51228
369,260,81936
370,243,60046
371,245,70068
372,170,50800
373,198,44426
374,201,69740
375,206,80424
376,214,76070
377,188,52878
378,218,91778
379,204,69536
380,192,68406
381,177,51246
382,175,40901
383,140,46996
384,121,14632
385,45,10551
386,0,0
387,45,10657
388,63,23113
389,6,524
390,0,0
391,3,262
392,0,0
393,0,0
394,3,262
395,0,0
396,0,0
397,0,0
398,0,0
399,6,524
400,0,0
401,3,262
402,0,0
403,0,0
404,3,262
405,0,0
406,0,0
407,0,0
408,0,0
409,6,524
410,0,0
411,3,262
412,0,0
413,0,0
414,3,262
415,0,0
416,0,0
417,0,0
418,0,0
419,6,524
420,54,6660
421,248,75609
422,255,46689
423,208,45970
424,231,38328
425,222,77122
426,200,54969
427,227,58344
428,296,90874
429,245,54748
430,215,31390
431,220,36788
432,215,46420
433,182,37422
434,167,25724
435,0,0
436,0,0
437,0,0
438,0,0
439,6,524
440,0,0
441,3,262
442,0,0
443,0,0
444,3,262
445,0,0
446,0,0
447,0,0
448,0,0
449,6,524
450,0,0
451,3,262
452,0,0
453,0,0
454,3,262
455,0,0
456,0,0
457,0,0
458,0,0
459,6,524
460,0,0
461,3,262
462,0,0
463,0,0
464,3,262
465,0,0
466,0,0
467,0,0
468,0,0
469,6,524
470,0,0
471,3,262
472,0,0
473,0,0
474,3,262
475,0,0
476,0,0
477,0,0
478,0,0
479,6,524
480,9,1058
