
,TCP,
interval,frames,Bytes
1,38,6794
2,34,6086
3,31,5510
4,34,6030
5,40,7074
6,50,8788
7,60,10475
8,59,10266
9,57,9918
10,44,7656
11,60,10440
12,59,10266
13,59,10266
14,61,10623
15,60,10500
16,60,10500
17,60,10500
18,58,10150
19,45,7875
20,0,0
21,0,0
22,0,0
23,1,175
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,1,175
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,9,1575
61,39,6825
62,42,7369
63,37,6512
64,37,6512
65,39,6864
66,40,7040
67,44,7744
68,53,9374
69,42,7434
70,46,8142
71,45,7965
72,44,7788
73,44,7788
74,43,7611
75,36,6372
76,30,5310
77,31,5487
78,29,5133
79,30,5310
80,31,5487
81,29,5133
82,30,5310
83,31,5487
84,29,5133
85,30,5310
86,30,5310
87,30,5310
88,31,5487
89,29,5133
90,31,5487
91,29,5133
92,30,5310
93,30,5310
94,30,5310
95,30,5310
96,30,5310
97,30,5310
98,30,5310
99,30,5310
100,30,5310
101,30,5310
102,30,5310
103,30,5310
104,30,5310
105,30,5310
106,30,5310
107,30,5310
108,30,5310
109,30,5310
110,30,5310
111,13,2301
112,0,0
113,0,0
114,1,177
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,12,2112
121,28,4928
122,30,5280
123,35,6184
124,43,7550
125,51,8925
126,55,9625
127,60,10500
128,59,10325
129,60,10500
130,58,10150
131,60,10500
132,59,10325
133,60,10500
134,14,2450
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,1,175
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,9,1584
181,38,6688
182,45,7920
183,54,9504
184,55,9680
185,48,8448
186,51,8976
187,57,10032
188,59,10356
189,60,10500
190,56,9800
191,55,9625
192,46,8050
193,50,8750
194,39,6825
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,1,175
236,0,0
237,0,0
238,0,0
239,0,0
240,8,1408
241,30,5262
242,37,6475
243,41,7175
244,47,8225
245,54,9450
246,55,9625
247,56,9800
248,59,10292
249,58,10092
250,53,9222
251,40,6960
252,33,5742
253,30,5220
254,32,5568
255,34,5916
256,21,3654
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,1,174
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,7,1225
301,30,5250
302,30,5250
303,33,5775
304,40,7000
305,50,8750
306,47,8225
307,55,9618
308,56,9744
309,42,7308
310,51,8874
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,9,1575
361,31,5425
362,35,6125
363,42,7350
364,43,7525
365,38,6617
366,45,7830
367,50,8697
368,54,9342
369,52,8996
370,41,7093
371,38,6574
372,43,7439
373,49,8477
374,46,7958
375,30,5190
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,8,1392
421,30,5262
422,30,5280
423,30,5280
424,30,5293
425,30,5297
426,30,5280
427,30,5280
428,30,5280
429,30,5280
430,30,5280
431,30,5280
432,30,5280
433,30,5280
434,30,5280
435,30,5280
436,30,5280
437,30,5280
438,30,5280
439,30,5280
440,30,5280
441,30,5280
442,30,5280
443,30,5280
444,30,5280
445,30,5280
446,26,4576
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,1,176
