,
,CPU,Memory,
Time,%CPU,RAM used
0,102,163088
1,102,163256
2,103,160720
3,82,161404
4,90,201884
5,110,214996
6,103,214636
7,107,216512
8,104,216944
9,115,218964
10,113,226708
11,109,231440
12,109,236656
13,107,239788
14,107,246304
15,111,251908
16,108,260368
17,108,265720
18,111,277900
19,110,292868
20,111,304568
21,111,325800
22,112,345664
23,108,363544
24,102,372388
25,99,372388
26,84,372388
27,19,372388
28,21,372388
29,22,372388
30,19,372404
31,20,372404
32,19,372404
33,20,372404
34,20,372404
35,19,372404
36,20,372404
37,19,372404
38,20,372404
39,19,372404
40,20,372404
41,20,372404
42,19,372404
43,19,372404
44,19,372404
45,20,372404
46,20,372404
47,20,372404
48,18,372404
49,20,372404
50,19,372404
51,20,372404
52,20,372404
53,19,372404
54,42,372404
55,19,372404
56,19,372404
57,20,372404
58,20,372404
59,27,372408
60,53,372408
61,109,373972
62,110,381392
63,108,385508
64,107,388740
65,107,393732
66,106,396920
67,116,401624
68,119,407004
69,113,414044
70,114,419120
71,109,425344
72,107,430556
73,105,432304
74,108,440820
75,106,446544
76,106,445012
77,107,447336
78,109,450784
79,109,459472
80,105,466296
81,107,466820
82,106,467088
83,108,471728
84,109,478520
85,109,487044
86,109,492920
87,110,503516
88,109,511920
89,108,520616
90,110,532252
91,108,544264
92,107,556500
93,106,571032
94,105,582084
95,107,593968
96,107,605612
97,108,619520
98,105,628300
99,111,642224
100,110,651424
101,112,656176
102,100,658288
103,99,658288
104,100,658288
105,100,658288
106,100,658288
107,100,658288
108,100,658288
109,101,658288
110,99,658288
111,101,658288
112,100,658288
113,100,658284
114,100,658284
115,100,658284
116,100,658284
117,100,658284
118,100,658284
119,55,658292
120,85,658296
121,108,662688
122,110,667884
123,111,671688
124,111,674852
125,111,677684
126,109,682532
127,105,687780
128,109,701056
129,110,716708
130,108,732108
131,110,746116
132,111,771004
133,100,776260
134,100,776260
135,100,776260
136,95,776260
137,21,776260
138,19,776260
139,20,776260
140,19,776260
141,20,776260
142,20,776260
143,18,776260
144,21,776260
145,19,776260
146,20,776260
147,20,776260
148,19,776260
149,19,776260
150,20,776260
151,19,776260
152,20,776260
153,20,776260
154,19,776260
155,20,776260
156,19,776260
157,19,776260
158,20,776260
159,19,776260
160,20,776260
161,20,776260
162,19,776260
163,19,776260
164,19,776260
165,20,776260
166,20,776260
167,20,776260
168,20,776260
169,30,776260
170,30,776260
171,20,776260
172,20,776260
173,26,776248
174,20,776248
175,20,776248
176,19,776248
177,19,776248
178,20,776248
179,20,776248
180,63,776268
181,110,786880
182,116,795396
183,111,801376
184,110,805672
185,109,811176
186,107,814256
187,106,824168
188,107,833208
189,107,838764
190,106,850348
191,108,859884
192,107,872688
193,110,886520
194,111,908128
195,107,926792
196,98,927312
197,20,927312
198,19,927312
199,20,927312
200,19,927312
201,20,927312
202,19,927312
203,20,927312
204,19,927312
205,20,927312
206,20,927312
207,19,927312
208,20,927312
209,19,927312
210,19,927312
211,20,927312
212,20,927312
213,20,927312
214,18,927312
215,20,927312
216,20,927312
217,20,927312
218,19,927312
219,20,927312
220,20,927312
221,19,927312
222,19,927312
223,20,927312
224,19,927312
225,20,927312
226,20,927312
227,19,927312
228,19,927312
229,20,927312
230,20,927312
231,19,927312
232,19,927312
233,20,927312
234,20,927312
235,41,927312
236,19,927312
237,20,927312
238,20,927312
239,19,927312
240,56,927328
241,109,938044
242,110,943736
243,111,949072
244,111,952700
245,111,958852
246,108,966068
247,108,972392
248,108,986340
249,106,990308
250,109,998192
251,106,1006044
252,107,1014812
253,113,1023824
254,110,1034712
255,113,1054620
256,112,1058020
257,115,1065916
258,111,1071720
259,114,1071932
260,100,1071932
261,100,1071932
262,100,1071932
263,101,1071932
264,99,1071932
265,100,1071932
266,101,1071932
267,100,1071932
268,100,1071932
269,99,1071932
270,100,1071932
271,69,1071932
272,19,1071932
273,20,1071932
274,20,1071932
275,19,1071932
276,20,1071932
277,19,1071932
278,19,1071932
279,21,1071932
280,18,1071932
281,20,1071932
282,20,1071932
283,19,1071932
284,20,1071932
285,20,1071932
286,19,1071932
287,20,1071932
288,19,1071932
289,20,1071932
290,82,1071932
291,99,1071932
292,100,1071932
293,100,1071936
294,100,1071936
295,100,1071936
296,101,1071936
297,100,1071936
298,100,1071936
299,100,1071936
300,100,1071960
301,105,1072028
302,107,1072112
303,107,1077728
304,105,1085904
305,105,1097320
306,105,1097740
307,106,1097868
308,104,1097976
309,100,1097980
310,101,1097980
311,100,1097980
312,99,1097980
313,43,1097980
314,20,1097980
315,20,1097980
316,19,1097980
317,19,1097980
318,20,1097980
319,18,1097980
320,21,1097980
321,19,1097980
322,19,1097980
323,20,1097980
324,20,1097980
325,19,1097980
326,20,1097980
327,19,1097980
328,20,1097980
329,19,1097980
330,20,1097980
331,19,1097980
332,20,1097980
333,19,1097980
334,20,1097980
335,19,1097980
336,19,1097980
337,20,1097980
338,20,1097980
339,19,1097980
340,20,1097980
341,19,1097980
342,19,1097980
343,20,1097980
344,20,1097980
345,19,1097980
346,20,1097980
347,19,1097980
348,20,1097980
349,20,1097980
350,19,1097980
351,20,1097980
352,27,1097980
353,27,1097980
354,19,1097980
355,20,1097980
356,19,1097980
357,20,1097980
358,19,1097980
359,20,1097980
360,92,1097988
361,104,1098152
362,112,1098312
363,117,1099496
364,117,1102108
365,114,1103004
366,115,1104184
367,108,1104308
368,110,1105216
369,107,1106532
370,107,1107328
371,107,1107596
372,109,1106992
373,108,1107972
374,112,1108996
375,112,1110500
376,111,1111032
377,109,1111728
378,113,1110840
379,109,1110904
380,112,1111372
381,111,1111720
382,111,1114016
383,123,1114680
384,117,1115972
385,103,1115972
386,100,1115972
387,99,1115972
388,101,1115972
389,100,1115972
390,100,1115972
391,100,1115972
392,101,1116112
393,99,1116112
394,100,1116112
395,100,1116112
396,73,1116112
397,20,1116112
398,20,1116112
399,19,1116112
400,20,1116112
401,19,1116112
402,20,1116112
403,20,1116112
404,19,1116112
405,20,1116112
406,19,1116112
407,20,1116112
408,19,1116112
409,19,1116112
410,20,1116112
411,20,1116112
412,19,1116112
413,20,1116112
414,19,1116112
415,19,1116112
416,20,1116112
417,20,1116112
418,19,1116112
419,19,1116112
420,87,1116236
421,115,1117316
422,126,1118264
423,152,1125904
424,163,1136972
425,127,1138408
426,107,1138980
427,108,1139336
428,108,1140060
429,110,1140668
430,107,1141332
431,107,1140860
432,109,1141412
433,103,1141672
434,100,1141672
435,100,1141672
436,100,1141672
437,100,1141672
438,100,1141672
439,100,1141672
440,100,1141672
441,100,1141672
442,100,1141672
443,100,1141672
444,100,1141672
445,100,1141672
446,100,1141672
447,100,1141672
448,100,1141672
449,100,1141672
450,101,1141672
451,99,1141672
452,100,1141672
453,101,1141672
454,100,1141672
455,100,1141672
456,100,1141672
457,100,1141672
458,68,1141672
459,19,1141672
460,20,1141672
461,20,1141672
462,19,1141672
463,20,1141672
464,19,1141672
465,20,1141672
466,19,1141672
467,20,1141672
468,19,1141672
469,20,1141672
470,20,1141672
471,19,1141672
472,20,1141672
473,20,1141672
474,18,1141672
475,20,1141672
476,72,1141672
477,100,1141672
478,99,1141672
