,
,CPU,Memory,
Time,%CPU,RAM used
0,102,161480
1,103,162296
2,86,162760
3,63,163104
4,106,198788
5,111,219536
6,104,221640
7,107,222568
8,108,224132
9,110,230840
10,109,236612
11,110,238656
12,113,241160
13,120,248668
14,111,257828
15,108,260604
16,106,260396
17,110,269992
18,110,276588
19,105,282256
20,105,289596
21,107,295172
22,106,301704
23,108,309600
24,112,320876
25,107,328856
26,106,335128
27,109,340252
28,51,348000
29,101,356408
30,113,364964
31,119,375856
32,111,385212
33,118,397632
34,115,411284
35,125,426968
36,114,433608
37,113,437128
38,141,447180
39,144,487000
40,140,515560
41,139,525940
42,125,541492
43,112,552764
44,103,556052
45,125,569740
46,134,590628
47,119,604456
48,132,613552
49,136,633036
50,113,644268
51,117,651140
52,125,659060
53,133,686524
54,131,715900
55,122,746028
56,106,746884
57,105,759356
58,98,760064
59,55,760592
60,116,767336
61,117,773540
62,113,779484
63,111,795336
64,108,802508
65,105,806456
66,110,807868
67,115,815732
68,112,822408
69,109,823792
70,112,826468
71,111,832216
72,108,839164
73,107,846584
74,107,851792
75,108,861072
76,104,869060
77,107,873960
78,107,882164
79,105,890592
80,109,896292
81,104,903288
82,114,913776
83,107,918028
84,112,923180
85,118,934192
86,125,944500
87,121,951992
88,125,955236
89,105,959940
90,115,961908
91,120,965788
92,111,966756
93,122,970268
94,119,970496
95,111,970368
96,119,970564
97,103,970344
98,116,971480
99,121,972584
100,150,981136
101,154,986324
102,183,1012476
103,155,1008372
104,145,1016200
105,170,1015260
106,119,1015908
107,139,1005100
108,164,997828
109,139,1032548
110,149,1046552
111,135,1061616
112,159,1096828
113,160,1126408
114,166,1167796
115,172,1205272
116,171,1250416
117,148,1305384
118,140,1348348
119,159,1364860
120,106,1384788
121,154,1478532
122,130,1398656
123,136,1265948
124,121,1226216
125,142,1209364
126,112,1210256
127,113,1209112
128,111,1207136
129,112,1207556
130,119,1170788
131,136,1159436
132,169,1181388
133,145,1173512
134,154,1142492
135,150,1138368
136,155,1147648
137,175,1137108
138,199,1139096
139,223,1233928
140,216,1360044
141,155,1427220
142,142,1445792
143,161,1472916
144,161,1531696
145,144,1574412
146,193,1668468
147,214,1837808
148,181,1973264
149,62,2045640
150,20,2045640
