,
,CPU,Memory,
Time,%CPU,RAM used
0,106,151324
1,41,149948
2,49,150236
3,52,153908
4,42,155644
5,99,181116
6,113,209748
7,107,211968
8,122,213632
9,113,222884
10,112,230072
11,111,234332
12,120,240732
13,114,245928
14,112,250108
15,110,251612
16,114,258132
17,112,264416
18,109,277476
19,105,284896
20,106,289072
21,106,297356
22,108,305116
23,106,313984
24,107,322716
25,105,328924
26,103,336388
27,49,339612
28,107,348332
29,109,359168
30,105,364784
31,106,372744
32,112,377728
33,107,380632
34,113,385436
35,106,388540
36,114,394568
37,119,404780
38,113,407372
39,109,409692
40,107,414888
41,108,421808
42,107,430024
43,108,440376
44,106,449796
45,107,451672
46,104,458400
47,106,463788
48,105,470140
49,103,477092
50,105,478408
51,110,488988
52,110,497952
53,104,508768
54,108,514744
55,105,519596
56,107,525228
57,92,530992
58,97,541248
59,110,541424
60,111,544744
61,115,548880
62,110,553624
63,110,558508
64,112,564352
65,107,569900
66,114,574928
67,111,582300
68,108,591012
69,112,596724
70,112,606500
71,113,615032
72,115,625836
73,113,630472
74,139,642532
75,135,657436
76,127,664712
77,141,693020
78,149,709704
79,122,713908
80,131,715176
81,132,720960
82,136,742764
83,145,762252
84,150,803764
85,121,808176
86,120,817540
87,130,828528
88,156,843620
89,129,886024
90,142,919544
91,123,921052
92,106,923120
93,110,925484
94,113,927648
95,112,927952
96,114,929144
97,110,932008
98,111,934264
99,105,934612
100,104,934864
101,114,939188
102,111,939444
103,104,940244
104,108,937388
105,108,936604
106,105,936692
107,108,935752
108,114,937824
109,124,948264
110,114,951028
111,123,952508
112,123,971700
113,150,1001192
114,155,1014348
115,149,1032568
116,154,1095968
117,110,1098276
118,101,1103492
119,78,1105216
120,128,1102816
121,130,1097640
122,118,1097516
123,125,1079128
124,120,1075660
125,121,1076108
126,111,1076356
127,114,1075836
128,108,1076032
129,110,1068940
130,107,1069160
131,111,1064712
132,108,1031768
133,108,1032016
134,117,1031372
135,122,1033096
136,119,1035156
137,132,1033484
138,141,1030272
139,139,1024732
140,124,1019432
141,166,1006712
142,129,1033692
143,133,1031260
144,138,1033348
145,175,1040660
146,123,1046588
147,147,1051744
148,131,1063112
149,147,1063972
150,158,1031980
151,183,1122532
152,131,1106696
153,124,1090516
154,126,1073344
155,109,1070816
156,106,1070936
157,120,1048376
158,110,1044372
159,109,1037564
160,110,1028108
161,119,1024200
162,115,1024272
163,128,1028048
164,158,1034972
165,120,1025036
166,121,1014492
167,123,1010824
168,119,1007272
169,33,1014996
170,20,1014996
171,19,1014996
172,20,1014996
173,27,1014996
174,19,1014984
175,19,1014984
176,20,1014984
177,19,1014984
178,20,1014984
179,20,1014984
180,80,1018864
181,107,1019844
182,112,1032860
183,120,1042352
184,108,1064472
185,115,1067936
186,111,1067972
187,108,1069184
188,105,1069772
189,106,1069960
190,107,1069516
191,110,1067380
192,105,1065600
193,107,1066604
194,105,1069808
195,105,1069628
196,106,1071636
197,105,1072404
198,110,1072608
199,114,1072000
200,116,1080684
201,122,1086332
202,139,1071080
203,139,1080844
204,174,1091040
205,121,1095808
206,113,1094860
207,129,1092488
208,123,1091880
209,176,1087648
210,149,1102684
211,145,1108492
212,118,1110660
213,111,1106732
214,116,1103424
215,111,1070024
216,109,1070236
217,111,1069264
218,111,1069136
219,111,1069204
220,112,1072044
221,110,1075436
222,117,1075664
223,124,1070596
224,113,1067292
225,118,1072676
226,106,1073220
227,112,1073844
228,106,1074024
229,116,1081108
230,126,1076536
231,129,1083880
232,127,1080140
233,127,1077252
234,122,1079912
235,142,1085472
236,133,1094092
237,133,1107720
238,145,1110580
239,131,1102344
