,
,CPU,Memory,
Time,%CPU,RAM used
0,60,157104
1,38,164728
2,97,164736
3,107,165160
4,74,167100
5,106,217412
6,103,220428
7,108,222220
8,112,226404
9,111,227596
10,105,229064
11,102,226704
12,107,229136
13,105,229532
14,106,235836
15,109,240624
16,110,249188
17,83,256844
18,112,270912
19,115,285592
20,114,298872
21,115,323780
22,116,357564
23,101,376928
24,100,376976
25,59,375152
26,20,375152
27,19,375152
28,20,375152
29,20,375152
30,38,375168
31,105,377592
32,108,387452
33,105,390384
34,105,393172
35,105,394432
36,110,400232
37,111,408440
38,112,419772
39,112,436016
40,112,451052
41,109,478304
42,99,478304
43,100,478304
44,21,478304
45,20,478304
46,19,478304
47,19,478304
48,20,478304
49,20,478304
50,19,478304
51,20,478304
52,20,478304
53,19,478304
54,27,478304
55,19,478304
56,20,478304
57,19,478304
58,20,478304
59,19,478304
60,54,478320
61,109,482724
62,109,493572
63,106,505620
64,105,509524
65,108,518044
66,106,527568
67,107,540424
68,106,556036
69,101,565744
70,100,565744
71,100,565744
72,100,565744
73,100,565744
74,100,565744
75,100,565744
76,81,565744
77,19,565744
78,20,565744
79,20,565744
80,20,565744
81,19,565744
82,19,565744
83,20,565744
84,20,565744
85,19,565744
86,20,565744
87,20,565744
88,18,565744
89,21,565744
90,56,565744
91,97,566172
92,100,568492
93,105,572856
94,106,580688
95,100,588016
96,100,589720
97,99,590088
98,100,590440
99,100,590440
100,100,590440
101,100,590440
102,100,590156
103,60,590104
104,20,590104
105,20,590104
106,19,590104
107,19,590104
108,20,590104
109,20,590104
110,29,590104
111,19,590104
112,20,590104
113,24,590112
114,26,590084
115,20,590084
116,20,590084
117,19,590084
118,20,590084
119,19,590084
120,56,590088
121,100,591252
122,104,593764
123,105,604532
124,106,614488
125,112,632144
126,99,641020
127,98,641224
128,99,641328
129,100,641328
130,83,641328
131,20,641328
132,19,641328
133,19,641328
134,20,641328
135,19,641328
136,20,641328
137,20,641328
138,19,641328
139,20,641328
140,19,641328
141,20,641328
142,19,641328
143,20,641328
144,19,641328
145,20,641328
146,19,641328
147,20,641328
148,20,641328
149,18,641328
150,59,641344
151,102,642604
152,108,651380
153,113,668820
154,109,680252
155,107,687716
156,108,697548
157,99,709208
158,101,709208
159,99,709208
160,100,709208
161,100,709208
162,100,709208
163,72,709208
164,19,709208
165,19,709208
166,20,709208
167,19,709208
168,20,709208
169,20,709208
170,20,709208
171,19,709208
172,20,709208
173,19,709208
174,19,709208
175,20,709208
176,20,709208
177,19,709208
178,20,709208
179,19,709208
180,70,709208
181,102,713524
182,106,721572
183,108,733136
184,106,742856
185,103,747140
186,107,755312
187,107,765808
188,105,780532
189,103,792384
190,100,793468
191,100,793468
192,100,793468
193,100,793468
194,100,793468
195,100,793468
196,100,793468
197,100,793468
198,21,793468
199,19,793468
200,20,793468
201,19,793468
202,20,793468
203,20,793468
204,19,793468
205,19,793468
206,20,793468
207,20,793468
208,19,793468
209,19,793468
210,76,795196
211,106,801276
212,106,808564
213,99,811184
214,98,811236
215,99,811252
216,99,811252
217,98,811252
218,34,811252
219,20,811252
220,19,811252
221,21,811252
222,19,811252
223,20,811252
224,19,811252
225,20,811252
226,19,811252
227,19,811252
228,20,811252
229,19,811252
230,25,811252
231,19,811252
232,19,811252
233,22,811252
234,20,811252
235,23,811252
236,19,811252
237,21,811252
238,19,811252
239,20,811252
