
,TCP,
interval,frames,Bytes
1,324,298384
2,235,215117
3,657,576577
4,649,587552
5,547,471872
6,652,601153
7,471,429671
8,520,477339
9,304,235466
10,274,245070
11,453,381824
12,276,208361
13,455,383054
14,590,507612
15,288,255187
16,267,230326
17,272,250306
18,213,191058
19,337,309774
20,310,280324
21,325,273539
22,4,2451
23,3,198
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,5,1662
30,0,0
31,383,311993
32,459,360098
33,545,476427
34,496,420041
35,463,383610
36,411,345697
37,408,355945
38,530,481131
39,436,367155
40,237,204621
41,94,68804
42,143,113828
43,164,143710
44,95,69262
45,99,73645
46,93,70154
47,113,89490
48,178,151228
49,174,154593
50,122,98826
51,76,58969
52,120,94712
53,221,186141
54,126,93194
55,155,129292
56,249,224910
57,176,145232
58,187,158915
59,261,227304
60,143,124781
61,323,273659
62,363,293175
63,378,298255
64,390,278348
65,450,351264
66,353,274741
67,345,305243
68,216,192479
69,211,199266
70,245,228105
71,347,331132
72,378,354026
73,304,271610
74,3,1569
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,4,264
88,0,0
89,4,264
90,14,4052
91,292,239194
92,321,267717
93,447,389756
94,579,468349
95,314,247435
96,233,183453
97,236,200238
98,251,216221
99,211,189413
100,218,191665
101,271,219454
102,283,244134
103,331,299005
104,453,424494
105,404,375827
106,27,20471
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,10,1363
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,12,3674
121,256,204639
122,412,322085
123,572,458250
124,536,444168
125,453,355967
126,275,237898
127,216,196475
128,164,136208
129,168,143738
130,182,166823
131,133,107831
132,214,180956
133,201,178722
134,206,175843
135,317,288928
136,326,298913
137,335,311027
138,332,309078
139,233,197422
140,83,64083
141,1,66
142,2,132
143,0,0
144,0,0
145,2,132
146,0,0
147,0,0
148,0,0
149,0,0
150,6,1155
151,93,67800
152,135,102862
153,226,178303
154,195,170398
155,213,183203
156,169,145402
157,173,148354
158,185,168230
159,98,83830
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,2,132
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,1,60
174,4,258
175,1,60
176,1,60
177,4,258
178,2,126
179,5,324
180,9,564
181,90,62736
182,261,190912
183,371,270192
184,94,64237
185,130,102557
186,157,135904
187,135,118499
188,167,130124
189,317,259109
190,487,426541
191,463,392441
192,487,410779
193,260,220730
194,268,233631
195,329,307049
196,260,237167
197,206,185119
198,315,288482
199,251,222617
200,278,243190
201,269,241189
202,305,269313
203,345,301318
204,609,567102
205,252,222433
206,0,0
207,0,0
208,0,0
209,0,0
210,52,38526
211,410,340260
212,699,581373
213,582,444785
214,348,284089
215,425,321198
216,179,140074
217,263,239283
218,273,259431
219,297,275456
220,235,216785
221,374,338485
222,374,337368
223,325,284475
224,384,343652
225,324,287115
226,274,248955
227,249,197411
228,95,95789
229,20,15151
230,4,2988
231,2,132
232,2,132
233,1,60
234,1,60
235,3,192
236,3,192
237,3,192
238,5,324
239,3,192
240,5,324
