
,TCP,
interval,frames,Bytes
1,120,111187
2,200,142981
3,159,93931
4,235,177497
5,400,325508
6,412,325710
7,642,586330
8,558,507205
9,653,555731
10,477,394184
11,677,573676
12,897,815275
13,433,401458
14,492,417340
15,439,415718
16,709,662591
17,464,440261
18,314,296669
19,234,208858
20,383,364341
21,279,258059
22,378,356643
23,464,448065
24,358,338356
25,315,278498
26,323,309568
27,329,310770
28,453,422608
29,362,355278
30,334,311064
31,514,432499
32,411,350438
33,353,310757
34,516,416031
35,609,472182
36,864,789970
37,627,572238
38,355,286486
39,254,226508
40,262,249671
41,425,397590
42,401,383170
43,411,379399
44,263,248654
45,298,280569
46,217,203119
47,319,300547
48,301,285928
49,183,168330
50,484,431904
51,533,520563
52,509,497424
53,399,380464
54,291,262335
55,386,361002
56,465,437192
57,394,343466
58,244,201268
59,186,157626
60,205,181821
61,437,351560
62,499,447349
63,472,409757
64,479,442950
65,318,273802
66,448,402714
67,457,417224
68,316,268020
69,392,373801
70,452,420567
71,547,489380
72,311,276073
73,309,295594
74,404,388839
75,423,404302
76,489,475079
77,411,385456
78,364,350113
79,323,298571
80,299,257790
81,348,314831
82,361,322352
83,415,387771
84,387,351649
85,337,327302
86,525,489266
87,563,526462
88,381,359245
89,518,476436
90,608,527585
91,808,687435
92,662,571843
93,485,428091
94,598,497179
95,621,488526
96,535,490440
97,630,553846
98,418,382859
99,345,329757
100,289,271810
101,197,170875
102,363,337487
103,412,391285
104,297,284700
105,330,320736
106,290,276579
107,338,315427
108,403,365792
109,499,484337
110,356,331852
111,365,343108
112,374,357933
113,315,287696
114,338,301867
115,316,298543
116,454,440710
117,485,449767
118,595,553907
119,555,522251
120,495,472572
121,796,719157
122,583,497264
123,597,486094
124,493,433360
125,479,394569
126,429,372058
127,410,372377
128,381,351990
129,326,309872
130,446,403232
131,416,375630
132,337,284895
133,431,385706
134,367,352869
135,259,240725
136,233,198192
137,287,263632
138,371,348843
139,330,304562
140,317,297436
141,419,396566
142,245,228947
143,371,344165
144,407,389619
145,504,477236
146,759,692162
147,560,518590
148,614,579509
149,560,506936
150,442,388009
151,469,396677
152,420,352685
153,548,472476
154,768,684257
155,490,402054
156,179,148320
157,376,352393
158,314,293419
159,258,239924
160,387,358099
161,407,373623
162,175,149513
163,386,355675
164,256,245652
165,335,314207
166,245,222057
167,755,737270
168,262,241830
169,5,300
170,5,300
171,7,5884
172,0,0
173,4,258
174,1,60
175,3,192
176,4,258
177,6,390
178,3,192
179,5,300
180,162,121373
181,294,221257
182,525,447218
183,466,409818
184,378,291743
185,615,523261
186,619,494746
187,520,472983
188,92,79354
189,225,211311
190,192,174921
191,326,301464
192,286,254478
193,338,315529
194,252,214821
195,356,332388
196,281,265356
197,251,239760
198,380,365984
199,505,479146
200,424,394009
201,411,381850
202,800,769301
203,469,445637
204,523,494172
205,698,667670
206,774,751800
207,545,524163
208,829,761184
209,720,669769
210,398,361343
211,618,547312
212,660,539054
213,334,283945
214,342,323630
215,409,380530
216,425,407686
217,593,538016
218,423,394459
219,414,382976
220,396,380447
221,429,419024
222,346,322717
223,341,326313
224,354,334416
225,413,399784
226,308,296323
227,350,337771
228,349,304405
229,350,331275
230,362,352396
231,440,430049
232,453,445544
233,343,334339
234,276,260000
235,377,362623
236,334,308978
237,311,288163
238,459,412519
239,490,425649
240,88,79773
