
,TCP,
interval,frames,Bytes
1,65,44479
2,421,367449
3,476,424540
4,552,442846
5,309,221408
6,267,206822
7,472,376748
8,477,427956
9,499,434925
10,450,418811
11,50,39870
12,204,130896
13,272,218395
14,148,105010
15,186,135879
16,179,136292
17,216,190540
18,250,229597
19,231,205711
20,236,209913
21,407,370618
22,400,363369
23,1,66
24,0,0
25,0,0
26,2,102
27,0,0
28,0,0
29,5,1662
30,10,9253
31,161,124622
32,149,121283
33,111,80116
34,101,72768
35,104,77300
36,179,153034
37,205,176557
38,268,242284
39,269,250414
40,339,302068
41,185,153898
42,0,0
43,4,264
44,4,264
45,4,264
46,4,264
47,1,66
48,1,66
49,0,0
50,0,0
51,0,0
52,0,0
53,7,1165
54,0,0
55,2,132
56,4,264
57,0,0
58,0,0
59,5,1662
60,15,7691
61,255,202181
62,207,170285
63,162,138985
64,113,93076
65,168,144368
66,166,148998
67,203,173874
68,193,155911
69,30,17605
70,0,0
71,0,0
72,0,0
73,0,0
74,3,198
75,3,198
76,0,0
77,0,0
78,0,0
79,2,102
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,2,132
87,0,0
88,3,198
89,5,330
90,10,1409
91,46,26341
92,114,87360
93,136,111429
94,209,176146
95,40,31874
96,33,24298
97,24,17548
98,0,0
99,0,0
100,2,132
101,7,462
102,0,0
103,0,0
104,2,132
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,10,1363
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,5,1663
120,16,8174
121,64,43391
122,170,127451
123,211,182019
124,199,171442
125,320,288590
126,43,36091
127,0,0
128,0,0
129,9,594
130,0,0
131,2,132
132,0,0
133,2,132
134,6,396
135,4,264
136,3,198
137,1,66
138,2,132
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,1,66
146,5,330
147,0,0
148,0,0
149,0,0
150,20,13732
151,74,49979
152,191,147651
153,291,247933
154,253,204753
155,174,142735
156,187,171114
157,93,80922
158,7,5808
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,2,132
165,2,102
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,3,198
173,1,60
174,1,60
175,1,60
176,3,192
177,1,60
178,3,192
179,7,456
180,16,9965
181,144,100369
182,176,142383
183,211,175860
184,197,168084
185,158,132256
186,180,159734
187,240,216297
188,224,204468
189,167,132850
190,4,2609
191,11,696
192,5,300
193,5,300
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,2,132
210,33,21247
211,185,148592
212,253,200656
213,119,104400
214,8,498
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,2,132
222,0,0
223,2,132
224,6,396
225,4,264
226,2,132
227,2,132
228,2,132
229,0,0
230,0,0
231,0,0
232,0,0
233,1,60
234,1,60
235,1,60
236,8,522
237,2,126
238,7,456
239,7,456
240,6,1723
