
,TCP,
interval,frames,Bytes
1,73,19504
2,60,12623
3,116,34216
4,116,29560
5,138,57980
6,86,20530
7,79,29590
8,91,26402
9,110,24078
10,82,36119
11,70,19204
12,117,45845
13,105,13580
14,104,13452
15,94,17078
16,92,27040
17,78,20090
18,73,14148
19,74,29828
20,80,35758
21,84,20832
22,68,13764
23,47,5790
24,50,21682
25,76,14700
26,52,16812
27,90,16460
28,93,16834
29,96,22408
30,106,28984
31,109,29592
32,76,14890
33,93,26790
34,81,31043
35,52,17136
36,42,5492
37,50,6514
38,43,5478
39,52,11918
40,52,6736
41,54,7028
42,52,16904
43,79,30466
44,68,13918
45,50,11560
46,32,4100
47,47,11146
48,62,12934
49,95,12423
50,83,31206
51,69,19030
52,76,25252
53,69,18984
54,64,17966
55,28,3618
56,73,24500
57,42,5406
58,27,3354
59,40,5176
60,82,20600
61,112,39777
62,97,17478
63,102,38279
64,108,28818
65,88,16158
66,122,30632
67,93,27132
68,103,18269
69,105,34009
70,95,22416
71,102,28304
72,78,20060
73,66,8126
74,83,35892
75,89,16358
76,94,22400
77,90,21620
78,66,13346
79,64,18380
80,64,18316
81,50,6400
82,58,7460
83,47,5904
84,54,6816
85,53,11888
86,42,15412
87,39,10056
88,60,12576
89,68,18784
90,110,39296
91,79,15322
92,99,22998
93,90,16698
94,56,6862
95,37,9862
96,67,13526
97,42,15512
98,77,19990
99,85,26027
100,60,27912
101,53,32452
102,43,15850
103,41,15462
104,34,9536
105,32,9238
106,44,21086
107,44,15946
108,35,4424
109,33,9238
110,80,25676
111,54,22406
112,38,20378
113,35,9598
114,56,17492
115,54,12172
116,79,25492
117,90,37036
118,71,24258
119,49,21706
120,78,20350
121,98,27808
122,102,33651
123,115,19560
124,121,30925
125,93,32399
126,94,37536
127,68,8772
128,54,11941
129,61,18061
130,42,10670
131,68,18986
132,50,6596
133,57,22822
134,40,15562
135,46,11214
136,42,10672
137,20,2594
138,39,4940
139,34,9600
140,56,22682
141,38,10058
142,38,10096
143,49,26866
144,30,9074
145,28,8818
146,40,15552
147,48,21750
148,19,2358
149,0,0
150,0,0
151,0,0
152,0,0
153,3,262
154,0,0
155,0,0
156,0,0
157,0,0
158,3,262
159,0,0
160,0,0
161,0,0
162,0,0
163,3,262
164,0,0
165,0,0
166,0,0
167,0,0
168,3,262
169,0,0
170,0,0
171,0,0
172,0,0
173,3,262
174,0,0
175,0,0
176,0,0
177,0,0
178,3,262
179,0,0
180,64,8210
181,109,29314
182,104,33778
183,99,22751
184,107,33900
185,116,40364
186,110,24554
187,92,22323
188,78,14702
189,86,26224
190,79,20060
191,52,11742
192,68,29172
193,43,20772
194,66,18660
195,51,16326
196,75,25046
197,38,4900
198,97,22452
199,70,18930
200,66,13620
201,36,9774
202,36,4638
203,52,16894
204,36,4580
205,18,2268
206,27,8388
207,36,9776
208,62,28392
209,82,30624
210,65,39030
211,24,8264
212,42,10488
213,31,14102
214,20,7730
215,53,32462
216,56,27792
217,32,14382
218,37,4562
219,14,1766
220,0,0
221,0,0
222,0,0
223,3,262
224,0,0
225,0,0
226,0,0
227,0,0
228,3,262
229,0,0
230,0,0
231,0,0
232,0,0
233,3,262
234,0,0
235,0,0
236,0,0
237,0,0
238,3,262
239,36,4576
240,104,34024
241,84,31442
242,88,26374
243,61,12782
244,104,34048
245,112,40174
246,76,9638
247,99,22606
248,122,25686
249,90,11434
250,85,26311
251,87,21499
252,66,18920
253,83,31054
254,69,14106
255,66,8680
256,53,12024
257,42,5488
258,91,31936
259,72,19606
260,55,27626
261,50,11614
262,56,22708
263,33,4176
264,38,4950
265,56,12346
266,24,8250
267,34,9546
268,31,3922
269,44,16062
270,42,10646
271,44,10902
272,8,1056
273,3,262
274,0,0
275,0,0
276,0,0
277,0,0
278,3,262
279,0,0
280,0,0
281,0,0
282,0,0
283,3,262
284,0,0
285,0,0
286,0,0
287,0,0
288,3,262
289,0,0
290,0,0
291,0,0
292,0,0
293,3,262
294,0,0
295,0,0
296,0,0
297,0,0
298,3,262
299,12,1564
300,124,26380
301,80,30684
302,96,27530
303,121,30516
304,100,18042
305,104,12988
306,101,27962
307,87,21128
308,107,23776
309,72,14306
310,55,17118
311,96,27305
312,54,7050
313,67,8610
314,52,6700
315,42,5468
316,52,17016
317,2,260
318,3,262
319,0,0
320,3,198
321,0,0
322,0,0
323,3,262
324,0,0
325,0,0
326,0,0
327,0,0
328,3,262
329,0,0
330,0,0
331,0,0
332,0,0
333,3,262
334,0,0
335,0,0
336,0,0
337,0,0
338,3,262
339,0,0
340,0,0
341,0,0
342,0,0
343,3,262
344,0,0
345,0,0
346,0,0
347,0,0
348,3,262
349,0,0
350,0,0
351,0,0
352,0,0
353,3,262
354,0,0
355,0,0
356,0,0
357,0,0
358,3,262
359,16,2080
360,87,31229
361,87,26114
362,83,15485
363,102,27904
364,96,32390
365,103,28162
366,91,16322
367,121,30708
368,96,27118
369,102,28160
370,77,14622
371,60,7540
372,109,44076
373,91,16622
374,52,6636
375,55,17056
376,42,5332
377,43,10370
378,81,15250
379,58,27968
380,30,14142
381,74,19782
382,46,11090
383,37,4670
384,38,15134
385,24,3080
386,30,14094
387,37,25248
388,25,13270
389,34,9554
390,30,19330
391,36,4604
392,50,21824
393,56,22420
394,72,19456
395,58,27958
396,6,764
397,0,0
398,3,262
399,0,0
400,0,0
401,0,0
402,0,0
403,3,262
404,0,0
405,0,0
406,0,0
407,0,0
408,3,262
409,0,0
410,0,0
411,0,0
412,0,0
413,3,262
414,0,0
415,0,0
416,0,0
417,0,0
418,3,262
419,26,8532
420,107,18598
421,118,35364
422,102,28159
423,91,21671
424,75,24756
425,92,32081
426,68,28677
427,78,19798
428,64,12874
429,69,13668
430,69,13680
431,58,17228
432,56,7016
433,63,27882
434,56,17326
435,48,6070
436,45,26048
437,48,6164
438,49,21404
439,82,35368
440,52,16866
441,56,27556
442,34,4412
443,39,4916
444,54,6936
445,26,3370
446,46,5940
447,52,16972
448,53,22080
449,38,10032
450,42,5430
451,20,2576
452,32,4120
453,47,11066
454,78,15096
455,34,4382
456,74,30000
457,40,15366
458,33,9216
459,46,16148
460,74,40192
461,28,13864
462,35,14714
463,26,8302
464,39,10116
465,17,12378
466,6,774
467,0,0
468,3,262
469,0,0
470,0,0
471,0,0
472,0,0
473,3,262
474,0,0
475,0,0
476,0,0
477,0,0
478,3,262
479,5,682
