
,TCP,
interval,frames,Bytes
1,32,3956
2,99,22564
3,74,8934
4,68,13961
5,126,30809
6,73,24346
7,80,35525
8,100,27218
9,91,16564
10,106,28557
11,100,38399
12,93,22205
13,120,25509
14,94,12096
15,100,27786
16,72,39878
17,65,13172
18,84,10444
19,94,32516
20,84,15664
21,84,20928
22,93,16754
23,78,20084
24,94,27304
25,69,13764
26,82,10502
27,68,8696
28,50,11468
29,54,17174
30,66,13562
31,106,39072
32,101,28310
33,97,37995
34,101,28235
35,99,27790
36,95,27713
37,138,33228
38,101,17849
39,82,20578
40,92,37314
41,98,27740
42,94,16822
43,80,25484
44,54,6826
45,65,23486
46,62,23300
47,78,9958
48,76,25166
49,26,8470
50,48,16422
51,78,15008
52,75,19829
53,64,8188
54,58,7472
55,55,6908
56,56,12374
57,73,14461
58,52,6754
59,50,21378
60,58,17670
61,110,29312
62,97,32419
63,107,43972
64,127,36785
65,132,31843
66,76,9712
67,83,31048
68,67,18746
69,62,28576
70,79,25535
71,61,18177
72,59,12652
73,73,24730
74,59,12666
75,55,7088
76,48,11402
77,70,14232
78,71,29694
79,30,9048
80,48,6222
81,59,22986
82,67,8686
83,60,28538
84,58,12770
85,49,16158
86,30,9038
87,85,21192
88,46,21444
89,28,8782
90,95,37826
91,98,27792
92,73,19502
93,115,49959
94,108,28984
95,136,53119
96,86,21384
97,99,18025
98,80,25596
99,87,16004
100,40,5060
101,54,11912
102,69,29270
103,48,11172
104,46,16156
105,72,29428
106,50,21812
107,76,35494
108,79,20413
109,66,13604
110,42,10492
111,34,9494
112,48,11098
113,60,12924
114,65,18494
115,29,3618
116,36,14892
117,18,2290
118,21,2668
119,29,14026
120,50,6506
121,131,27191
122,122,30726
123,108,38594
124,89,16312
125,149,49429
126,110,24093
127,92,21854
128,91,16550
129,95,17198
130,94,22138
131,91,16734
132,89,21659
133,64,18433
134,63,13258
135,83,20824
136,118,35462
137,87,16232
138,54,7074
139,63,13348
140,44,5698
141,70,19142
142,67,18828
143,56,17388
144,47,11232
145,34,19682
146,24,3074
147,40,10346
148,48,26812
149,42,26074
150,97,22739
151,108,28968
152,115,39987
153,82,15436
154,119,25403
155,107,13472
156,88,10990
157,106,33600
158,96,22348
159,107,24024
160,87,36790
161,83,26163
162,73,14462
163,80,15330
164,46,11140
165,35,4406
166,66,29128
167,22,7978
168,12,1544
169,0,0
170,0,0
171,0,0
172,3,262
173,0,0
174,0,0
175,3,262
176,0,0
177,0,0
178,0,0
179,0,0
180,72,24361
181,108,23712
182,98,22120
183,86,21046
184,90,16602
185,111,29638
186,93,27479
187,95,32272
188,98,22480
189,96,22306
190,96,22328
191,76,9584
192,59,17668
193,84,26148
194,72,19470
195,51,6314
196,62,22968
197,53,16832
198,66,8292
199,76,25042
200,56,17424
201,64,13298
202,49,21664
203,42,10602
204,46,11090
205,33,14372
206,39,20338
207,30,19294
208,22,18316
209,38,15242
210,88,31868
211,123,35791
212,93,11964
213,54,6860
214,79,25361
215,88,41703
216,69,29149
217,81,25282
218,84,25957
219,65,18383
220,66,13000
221,56,6990
222,55,22250
223,59,12362
224,47,10902
225,61,12656
226,40,5072
227,40,5068
228,56,17424
229,52,16938
230,39,15286
231,60,23048
232,47,16192
233,50,11578
234,38,10060
235,53,6676
236,40,10342
237,34,9564
238,36,4650
239,55,22382
240,11,1382
