
,TCP,
interval,frames,Bytes
1,80,9976
2,58,17598
3,103,32920
4,135,32070
5,116,24706
6,91,21287
7,132,71443
8,97,31598
9,130,41172
10,86,10040
11,118,24108
12,82,14876
13,90,51718
14,92,41538
15,100,32214
16,104,48056
17,92,21086
18,99,37162
19,92,31230
20,82,25014
21,80,19744
22,0,0
23,0,0
24,3,262
25,0,0
26,0,0
27,0,0
28,3,262
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,3,262
35,0,0
36,0,0
37,0,0
38,3,262
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,3,262
45,0,0
46,0,0
47,0,0
48,3,262
49,7,1165
50,0,0
51,0,0
52,3,198
53,0,0
54,3,262
55,0,0
56,0,0
57,0,0
58,3,262
59,0,0
60,44,5258
61,122,29458
62,107,27956
63,113,18560
64,126,29830
65,108,43188
66,106,42952
67,88,30288
68,95,31306
69,88,25718
70,119,44559
71,51,11257
72,0,0
73,0,0
74,3,262
75,0,0
76,0,0
77,0,0
78,3,262
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,3,262
85,0,0
86,0,0
87,0,0
88,3,262
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,3,262
95,0,0
96,0,0
97,0,0
98,3,262
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,3,262
105,0,0
106,0,0
107,0,0
108,3,262
109,3,198
110,0,0
111,0,0
112,0,0
113,0,0
114,3,262
115,0,0
116,0,0
117,0,0
118,3,262
119,0,0
120,29,3272
121,110,28398
122,116,18906
123,124,40124
124,118,28916
125,114,28726
126,124,19630
127,134,40766
128,114,28552
129,106,12466
130,119,13750
131,114,23324
132,0,0
133,0,0
134,3,262
135,0,0
136,0,0
137,0,0
138,3,262
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,3,262
145,0,0
146,0,0
147,0,0
148,3,262
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,3,262
155,0,0
156,0,0
157,0,0
158,3,262
159,0,0
160,0,0
