
,TCP,
interval,frames,Bytes
1,33,5907
2,34,6083
3,30,5333
4,43,7611
5,51,8946
6,50,8671
7,48,8271
8,56,9623
9,58,9918
10,59,10089
11,52,8892
12,54,9234
13,59,10089
14,60,10314
15,54,9288
16,56,9632
17,47,8084
18,43,7396
19,39,6708
20,36,6192
21,31,5332
22,15,2580
23,22,3784
24,30,5160
25,30,5160
26,30,5160
27,30,5160
28,30,5160
29,30,5160
30,30,5160
31,30,5160
32,30,5160
33,30,5160
34,30,5160
35,28,4816
36,30,5160
37,30,5160
38,30,5160
39,29,4988
40,29,4988
41,30,5160
42,30,5160
43,30,5160
44,30,5160
45,30,5160
46,29,4988
47,31,5332
48,29,4988
49,30,5160
50,30,5160
51,30,5160
52,18,3096
53,18,3096
54,30,5160
55,29,4988
56,30,5160
57,28,4816
58,30,5160
59,29,4988
60,27,4644
61,24,4128
62,34,5848
63,43,7416
64,50,8650
65,61,10553
66,57,9861
67,60,10380
68,60,10380
69,57,9861
70,60,10380
71,59,10207
72,50,8650
73,38,6574
74,35,6055
75,34,5882
76,32,5536
77,35,6055
78,38,6574
79,35,6055
80,37,6401
81,33,5709
82,31,5363
83,31,5363
84,30,5190
85,30,5190
86,30,5190
87,30,5190
88,30,5190
89,29,5017
90,29,5017
91,30,5190
92,29,5017
93,30,5190
94,30,5190
95,30,5190
96,29,5017
97,30,5190
98,21,3633
99,11,1903
100,2,346
101,4,692
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,7,1211
109,1,173
110,1,173
111,0,0
112,0,0
113,1,173
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,24,4152
121,28,4844
122,31,5345
123,30,5160
124,29,4988
125,30,5160
126,31,5332
127,30,5160
128,30,5160
129,30,5160
130,29,4988
131,30,5160
132,30,5160
133,30,5160
134,3,516
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,16,2780
181,30,5220
182,30,5220
183,36,6311
184,50,8800
185,56,9856
186,60,10560
187,60,10560
188,59,10384
189,58,10208
190,53,9328
191,42,7392
192,54,9504
193,49,8624
194,46,8096
195,58,10208
196,55,9680
197,59,10384
198,56,9856
199,48,8448
200,40,7040
201,42,7392
202,42,7392
203,19,3344
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,1,176
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,3,528
240,21,3696
241,33,5808
242,31,5423
243,31,5394
244,32,5568
245,57,9918
246,58,10060
247,58,10034
248,53,9169
249,53,9169
250,40,6920
251,45,7785
252,51,8823
253,48,8304
254,44,7612
255,41,7093
256,44,7612
257,45,7785
258,42,7266
259,33,5709
260,34,5882
261,1,173
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,1,173
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,1,173
300,21,3620
301,29,4988
302,28,4816
303,30,5160
304,42,7224
305,60,10320
306,59,10148
307,59,10148
308,59,10148
309,58,9976
310,60,10320
311,59,10148
312,56,9632
313,56,9632
314,56,9632
315,54,9288
316,57,9804
317,56,9632
318,50,8600
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,3,516
360,19,3268
361,26,4491
362,28,4844
