
,TCP,
interval,frames,Bytes
1,19,3401
2,38,6802
3,34,6061
4,35,6196
5,41,7214
6,50,8694
7,59,10185
8,57,9804
9,60,10268
10,57,9747
11,60,10260
12,60,10260
13,60,10260
14,60,10260
15,60,10260
16,59,10115
17,58,9976
18,60,10320
19,60,10320
20,54,9288
21,44,7568
22,37,6364
23,34,5848
24,30,5160
25,30,5160
26,7,1204
27,26,4472
28,30,5160
29,29,4988
30,30,5160
31,33,5676
32,50,8600
33,55,9469
34,54,9342
35,59,10207
36,60,10380
37,59,10207
38,59,10207
39,60,10380
40,60,10380
41,59,10207
42,56,9688
43,53,9169
44,48,8304
45,39,6747
46,41,7093
47,39,6747
48,35,6055
49,34,5882
50,34,5882
51,35,6055
52,31,5363
53,30,5190
54,30,5190
55,30,5190
56,18,3114
57,19,3287
58,30,5190
59,30,5190
60,30,5190
61,30,5190
62,32,5536
63,36,6192
64,35,6020
65,30,5160
66,31,5332
67,31,5332
68,30,5160
69,30,5160
70,29,4988
71,34,5848
72,33,5676
73,37,6364
74,35,6020
75,38,6536
76,37,6364
77,36,6192
78,34,5848
79,37,6364
80,36,6192
81,37,6364
82,35,6020
83,31,5332
84,31,5332
85,34,5848
86,33,5676
87,30,5160
88,7,1204
89,0,0
90,22,3824
91,29,5046
92,30,5220
93,34,5966
94,54,9504
95,58,10208
96,59,10384
97,59,10384
98,60,10560
99,58,10208
100,57,10032
101,50,8800
102,55,9680
103,59,10384
104,45,7920
105,46,8096
106,59,10384
107,58,10208
108,50,8800
109,58,10208
110,59,10384
111,59,10384
112,59,10384
113,53,9328
114,57,10032
115,57,10032
116,59,10384
117,24,4224
118,2,352
119,0,0
120,14,2464
121,30,5280
122,37,6512
123,28,4884
124,30,5220
125,43,7482
126,55,9570
127,57,9874
128,57,9861
129,57,9861
130,54,9342
131,44,7612
132,47,8131
133,60,10380
134,58,10034
135,53,9169
136,45,7785
137,51,8823
138,52,8996
139,44,7612
140,47,8131
141,51,8823
142,43,7439
143,37,6401
144,36,6228
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,21,3627
151,28,4816
152,31,5332
153,30,5160
154,38,6536
155,60,10320
156,60,10320
157,60,10320
158,60,10320
159,59,10148
160,57,9804
161,56,9632
162,57,9804
163,59,10148
164,59,10148
165,58,9976
166,57,9804
167,19,3268
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,1,172
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,15,2580
181,25,4309
182,29,5017
183,32,5536
184,43,7439
185,54,9296
186,58,9976
187,60,10320
188,60,10320
189,60,10320
190,56,9632
191,58,9976
192,52,8944
193,50,8600
194,56,9632
195,52,8944
196,56,9632
197,52,8944
198,58,9976
199,54,9288
200,55,9460
201,36,6192
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,18,3096
211,29,4988
212,33,5676
213,39,6708
214,46,7926
215,47,8131
216,49,8477
217,56,9688
218,56,9688
219,60,10380
220,55,9515
221,54,9342
222,49,8477
223,47,8131
224,38,6574
225,36,6228
226,35,6055
227,32,5536
228,29,5017
229,31,5363
230,31,5363
231,28,4844
232,30,5190
233,30,5190
234,30,5190
235,29,5017
236,30,5190
237,30,5190
238,16,2768
239,19,3287
240,5,865
