
,TCP,
interval,frames,Bytes
1,40,7120
2,37,6584
3,31,5484
4,32,5656
5,40,7094
6,52,9219
7,55,9682
8,55,9680
9,58,10208
10,42,7392
11,56,9856
12,60,10560
13,60,10560
14,60,10583
15,31,5487
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,1,177
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,1,177
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,8,1408
61,41,7215
62,48,8412
63,48,8477
64,45,7965
65,54,9558
66,59,10443
67,59,10443
68,60,10620
69,15,2655
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,1,177
110,1,177
111,0,0
112,0,0
113,1,177
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,6,1068
121,54,9612
122,49,8722
123,41,7298
124,39,6942
125,37,6573
126,41,7257
127,56,9912
128,57,10089
129,60,10620
130,54,9558
131,44,7788
132,49,8673
133,53,9381
134,54,9558
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,6,1062
181,31,5518
182,31,5518
183,31,5518
184,32,5696
185,33,5874
186,32,5696
187,34,6052
188,46,8188
189,37,6586
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,1,178
231,0,0
232,0,0
233,0,0
234,1,178
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,7,1246
241,30,5340
242,36,6408
243,39,6942
244,53,9370
245,53,9372
246,60,10620
247,59,10443
248,15,2651
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,34,5984
301,58,10208
302,59,10384
303,47,8272
304,42,7379
305,41,7175
306,42,7350
307,50,8779
308,59,10384
309,58,10208
310,59,10384
311,30,5280
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,6,1050
361,30,5280
362,31,5456
363,34,5984
