
,TCP,
interval,frames,Bytes
1,43,7654
2,34,6052
3,32,5684
4,34,5998
5,43,7609
6,51,9062
7,52,9173
8,54,9510
9,58,10154
10,37,6476
11,26,4561
12,7,1232
13,57,10032
14,60,10560
15,60,10560
16,60,10617
17,3,531
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,1,177
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,7,1232
31,30,5280
32,30,5259
33,30,5285
34,30,5310
35,30,5310
36,30,5310
37,30,5310
38,30,5310
39,15,2655
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,1,177
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,5,890
61,43,7654
62,49,8722
63,39,6942
64,38,6764
65,43,7640
66,40,7080
67,49,8673
68,58,10266
69,57,10089
70,53,9381
71,45,7965
72,43,7611
73,51,9027
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,15,2656
91,36,6408
92,30,5340
93,31,5518
94,34,6052
95,32,5696
96,33,5874
97,33,5874
98,44,7832
99,49,8722
100,53,9434
101,3,534
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,2,356
111,0,0
112,0,0
113,0,0
114,1,178
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,10,1780
121,30,5340
122,34,6052
123,38,6764
124,49,8674
125,58,10245
126,61,10797
127,60,10620
128,25,4421
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,20,3520
151,59,10384
152,61,10736
153,56,9856
154,49,8624
155,39,6832
156,44,7700
157,47,8231
158,55,9680
159,61,10736
160,58,10208
161,36,6336
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,5,875
181,26,4576
182,31,5456
183,35,6160
184,40,7040
185,45,7920
186,47,8239
187,51,8925
188,53,9275
189,59,10325
190,57,9975
191,52,9100
192,48,8400
193,52,9100
194,60,10500
195,44,7700
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,16,2816
211,35,6184
212,50,8874
213,58,10364
214,59,10561
215,59,10517
216,60,10620
217,60,10620
218,21,3717
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,1,177
231,0,0
232,0,0
233,0,0
234,0,0
235,1,177
