
,TCP,
interval,frames,Bytes
1,369,346647
2,187,141473
3,197,127123
4,274,180801
5,399,313932
6,459,409116
7,509,454328
8,545,500978
9,691,651336
10,555,497780
11,514,456901
12,144,106840
13,175,160088
14,120,94742
15,93,61774
16,121,90087
17,233,210658
18,296,272054
19,283,260225
20,243,222192
21,398,369717
22,374,350221
23,288,242011
24,0,0
25,7,462
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,5,1661
41,0,0
42,0,0
43,7,1165
44,0,0
45,4,264
46,0,0
47,2,132
48,4,234
49,2,132
50,2,132
51,0,0
52,0,0
53,0,0
54,4,234
55,2,132
56,6,396
57,0,0
58,0,0
59,0,0
60,38,25430
61,96,60406
62,121,86324
63,130,107946
64,140,109749
65,158,128607
66,115,94440
67,88,66112
68,114,83408
69,107,71074
70,121,89660
71,125,91296
72,201,171537
73,172,141046
74,117,100148
75,140,111698
76,116,95075
77,95,81157
78,105,89337
79,76,61819
80,184,159417
81,208,173716
82,205,176589
83,141,91730
84,141,115524
85,128,108349
86,130,113629
87,61,53628
88,141,126247
89,208,185235
90,147,131344
91,114,100644
92,193,177270
93,165,141447
94,241,213128
95,190,173371
96,225,207916
97,202,190047
98,227,212816
99,221,209105
100,310,288048
101,280,252515
102,212,167148
103,104,87715
104,63,60722
105,5,210
106,5,210
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,2,132
116,0,0
117,0,0
118,0,0
119,0,0
120,74,55349
121,146,110754
122,158,111561
123,114,78286
124,187,146731
125,156,130257
126,178,147887
127,154,129106
128,158,130102
129,189,167610
130,202,187089
131,225,188113
132,245,217042
133,306,279646
134,254,236179
135,4,264
136,0,0
137,0,0
138,4,264
139,0,0
140,4,264
141,0,0
142,0,0
143,0,0
144,0,0
145,2,132
146,8,528
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,7,438
164,1,42
165,7,438
166,1,42
167,1,42
168,1,42
169,1,42
170,3,144
171,1,42
172,1,42
173,1,42
174,1,42
175,0,0
176,2,132
177,0,0
178,0,0
179,0,0
180,53,32671
181,126,91939
182,98,77540
183,190,167371
184,151,127086
185,117,99139
186,214,181164
187,86,59065
188,242,207402
189,251,232478
190,263,235193
191,263,216745
192,309,282253
193,327,297700
194,352,331285
195,466,434824
196,324,280151
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,2,132
222,0,0
223,1,42
224,1,42
225,5,306
226,3,144
227,1,42
228,5,306
229,1,42
230,3,174
231,3,174
232,1,42
233,1,42
234,1,42
235,4,234
236,8,528
237,0,0
238,0,0
239,4,264
240,68,50221
241,162,132245
242,135,108256
243,219,175777
244,124,99978
245,171,139727
246,127,113796
247,82,68684
248,194,155482
249,162,138566
250,163,145555
251,222,192133
252,106,74968
253,254,226335
254,184,159107
255,232,201770
256,280,238605
257,348,324811
258,398,354666
259,95,77153
260,24,15196
261,0,0
262,2,102
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,1,42
284,1,42
285,1,42
286,1,42
287,1,42
288,1,42
289,1,42
290,1,42
291,1,42
292,1,42
293,1,42
294,1,42
295,0,0
296,0,0
297,2,132
298,0,0
299,0,0
300,12,6032
301,197,167204
302,185,155057
303,105,83007
304,132,111331
305,160,144606
306,174,149154
307,197,174699
308,259,230034
309,254,232789
310,0,0
311,0,0
312,0,0
313,2,132
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,6,396
321,9,594
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,2,132
343,1,42
344,1,42
345,1,42
346,1,42
347,3,144
348,1,42
349,1,42
350,1,42
351,1,42
352,1,42
353,1,42
354,1,42
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,119,94020
361,252,220040
362,143,121646
363,69,57435
364,95,72642
