
,TCP,
interval,frames,Bytes
1,149,127899
2,105,82068
3,164,151278
4,406,332227
5,488,395171
6,366,291528
7,401,357925
8,548,484487
9,374,315502
10,273,233254
11,381,339529
12,447,423566
13,332,309238
14,137,105083
15,169,145179
16,273,235778
17,264,237413
18,272,239773
19,318,293177
20,289,266424
21,278,234035
22,40,21922
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,2,132
29,0,0
30,0,0
31,0,0
32,0,0
33,2,102
34,0,0
35,0,0
36,5,1661
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,2,132
45,0,0
46,0,0
47,0,0
48,0,0
49,6,396
50,2,132
51,2,132
52,6,396
53,13,1561
54,2,132
55,0,0
56,0,0
57,0,0
58,2,102
59,0,0
60,0,0
61,108,78807
62,199,174525
63,213,186320
64,111,86389
65,149,128118
66,172,144128
67,212,183268
68,236,213511
69,273,246376
70,309,278531
71,142,121018
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,3,198
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,2,132
90,0,0
91,0,0
92,0,0
93,0,0
94,2,132
95,6,396
96,2,132
97,6,396
98,6,396
99,2,132
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,2,132
112,0,0
113,10,1363
114,0,0
115,2,102
116,0,0
117,0,0
118,2,102
119,0,0
120,0,0
121,31,15549
122,152,118390
123,223,182671
124,201,175766
125,154,136968
126,173,151927
127,172,136219
128,166,145267
129,269,230028
130,24,16453
131,0,0
132,0,0
133,0,0
134,9,2704
135,0,0
136,0,0
137,0,0
138,0,0
139,2,132
140,5,330
141,3,198
142,6,396
143,6,396
144,2,132
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,2,132
172,0,0
173,1,42
174,4,240
175,1,42
176,3,144
177,1,42
178,1,42
179,5,276
180,1,42
181,106,84565
182,180,153536
183,255,212211
184,239,198336
185,252,212047
186,93,75831
187,14,6643
188,8,528
189,2,132
190,9,594
191,6,396
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,2,132
217,0,0
218,0,0
219,0,0
220,0,0
221,2,102
222,0,0
223,0,0
224,2,132
225,0,0
226,0,0
227,0,0
228,0,0
229,2,132
230,4,264
231,4,264
232,2,132
233,11,702
234,5,276
235,1,42
236,1,42
237,1,42
238,1,42
239,3,174
240,3,174
241,101,65279
242,150,117818
243,179,159839
244,272,232985
245,232,202865
246,45,33371
247,13,2190
248,4,264
249,2,132
250,0,0
251,0,0
252,0,0
253,0,0
254,14,888
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,2,102
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,2,132
293,1,42
294,1,42
295,1,42
296,1,42
297,3,144
298,1,42
299,1,42
300,1,42
301,42,22626
302,27,19077
303,67,43490
304,182,145053
305,89,65552
306,109,85483
307,188,160014
308,228,211182
309,314,264515
310,24,18854
311,0,0
