
,TCP,
interval,frames,Bytes
1,30,3424
2,64,7492
3,62,7444
4,85,15528
5,105,18531
6,85,15596
7,92,41496
8,87,35668
9,148,67628
10,101,22109
11,157,33634
12,124,35044
13,105,17606
14,108,43420
15,74,29102
16,83,24942
17,98,37112
18,94,36732
19,95,31644
20,82,30268
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,3,262
27,0,0
28,0,0
29,3,262
30,0,0
31,96,41786
32,102,22138
33,124,24888
34,109,17976
35,109,28172
36,104,27470
37,103,37622
38,90,20800
39,118,54814
40,53,21646
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,3,262
47,0,0
48,0,0
49,3,262
50,0,0
51,0,0
52,0,0
53,3,198
54,0,0
55,0,0
56,3,262
57,0,0
58,0,0
59,3,262
60,2,232
61,26,13264
62,124,50198
63,115,28856
64,129,40748
65,114,33974
66,121,29568
67,112,23412
68,112,33664
69,142,26483
70,117,13558
71,112,13136
72,48,5658
73,0,0
74,0,0
75,0,0
76,3,262
77,0,0
78,0,0
79,3,262
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,3,262
87,0,0
88,0,0
89,3,262
90,16,1910
91,110,23476
92,125,40548
93,130,25784
94,113,28808
95,112,23630
96,24,7874
97,0,0
98,0,0
99,3,262
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,3,262
107,0,0
108,0,0
109,3,262
110,7,1165
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,3,262
117,0,0
118,0,0
119,3,262
120,15,6860
121,85,15086
122,121,24088
123,92,31220
124,104,22574
125,65,33333
126,7,744
127,0,0
128,0,0
129,3,262
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,3,262
137,0,0
138,0,0
139,3,262
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,3,262
147,0,0
148,0,0
149,3,262
150,0,0
151,14,6810
152,14,1666
153,16,7032
154,100,27238
155,126,35486
156,122,34652
157,148,43006
158,174,51092
159,75,8724
160,30,13946
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,3,262
167,0,0
168,0,0
169,3,262
170,3,198
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,3,262
177,0,0
178,0,0
179,3,262
180,20,2366
181,96,16384
182,122,19502
183,126,50500
184,122,35070
185,120,29714
186,113,23626
187,127,50762
188,120,34482
189,117,13798
190,176,36200
191,145,27315
192,91,15692
193,0,0
194,0,0
195,0,0
196,3,262
197,0,0
198,0,0
199,3,262
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,3,262
207,0,0
208,0,0
209,3,262
210,10,1172
211,117,18660
212,98,37276
213,105,42997
214,44,5188
215,8,980
216,3,262
217,0,0
218,0,0
219,3,262
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,3,262
227,0,0
228,0,0
229,3,262
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,3,262
237,0,0
238,0,0
239,3,262
240,5,618
