
,TCP,
interval,frames,Bytes
1,36,6413
2,32,5728
3,31,5541
4,30,5330
5,38,6730
6,52,9183
7,54,9476
8,57,9935
9,59,10266
10,60,10440
11,60,10440
12,60,10441
13,58,10092
14,59,10266
15,57,9974
16,56,9800
17,60,10500
18,60,10500
19,31,5425
20,0,0
21,0,0
22,0,0
23,0,0
24,1,175
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,31,5425
32,38,6650
33,40,7035
34,37,6512
35,37,6512
36,39,6864
37,43,7568
38,53,9348
39,51,9027
40,45,7965
41,46,8142
42,44,7788
43,46,8142
44,43,7611
45,39,6903
46,32,5664
47,30,5310
48,30,5310
49,30,5310
50,30,5310
51,30,5310
52,30,5310
53,22,3894
54,15,2655
55,30,5310
56,30,5310
57,30,5310
58,30,5310
59,30,5310
60,30,5308
61,30,5280
62,30,5280
63,36,6344
64,48,8476
65,55,9625
66,56,9800
67,56,9800
68,60,10500
69,60,10500
70,60,10500
71,60,10500
72,60,10500
73,27,4725
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,3,528
91,29,5104
92,41,7216
93,50,8800
94,49,8624
95,52,9152
96,58,10208
97,58,10208
98,57,10032
99,59,10328
100,58,10150
101,57,9975
102,46,8050
103,44,7700
104,43,7525
105,45,7875
106,45,7875
107,13,2275
108,0,0
109,0,0
110,2,350
111,0,0
112,0,0
113,0,0
114,0,0
115,1,175
116,0,0
117,0,0
118,0,0
119,0,0
120,5,880
121,30,5276
122,32,5600
123,39,6825
124,42,7350
125,52,9100
126,54,9450
127,54,9450
128,57,9964
129,58,10092
130,57,9918
131,43,7482
132,32,5568
133,31,5394
134,30,5220
135,32,5568
136,24,4176
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,2,350
151,26,4550
152,30,5250
153,31,5425
154,36,6300
155,41,7175
156,45,7875
157,47,8225
158,50,8720
159,42,7308
160,44,7656
161,21,3654
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,1,174
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,9,1575
181,34,5950
182,34,5950
183,40,7000
184,42,7350
185,41,7158
186,42,7308
187,47,8178
188,51,8839
189,45,7785
190,38,6574
191,39,6747
192,41,7093
193,44,7612
194,12,2076
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,4,696
211,24,4199
212,29,5104
213,31,5456
214,30,5284
215,29,5130
216,31,5456
217,30,5280
218,30,5280
219,30,5280
220,30,5280
221,30,5280
222,30,5280
223,29,5104
224,31,5456
225,29,5104
226,31,5456
227,29,5104
228,31,5456
229,30,5280
230,29,5104
231,31,5456
232,30,5280
233,29,5104
234,30,5280
235,16,2816
236,21,3696
237,30,5280
238,30,5280
239,30,5280
240,21,3696
