,
,CPU,Memory,
Time,%CPU,RAM used
0,140,284916
1,112,299940
2,115,305928
3,129,315372
4,116,322888
5,110,326556
6,106,327732
7,101,329476
8,105,333836
9,101,335708
10,105,340356
11,106,344796
12,111,354944
13,113,372824
14,109,389096
15,106,405052
16,101,410556
17,23,410556
18,6,410556
19,5,410556
20,5,410556
21,6,410556
22,5,410556
23,6,410556
24,8,410572
25,6,410572
26,6,410572
27,5,410572
28,5,410572
29,5,410572
30,6,410572
31,6,410572
32,5,410572
33,5,410572
34,5,410572
35,5,410572
36,5,410572
37,6,410572
38,5,410572
39,5,410572
40,6,410572
41,5,410572
42,5,410572
43,6,410572
44,4,410572
45,6,410572
46,6,410572
47,6,410572
48,5,410572
49,5,410572
50,6,410572
51,6,410572
52,5,410572
53,5,410572
54,12,410572
55,6,410572
56,4,410572
57,6,410572
58,6,410572
59,5,410572
60,17,410572
61,100,415784
62,111,422832
63,105,434904
64,108,443844
65,111,451632
66,105,457988
67,106,462180
68,103,466328
69,105,467188
70,106,469684
71,108,471892
72,107,476248
73,111,482616
74,108,493160
75,108,494624
76,110,499392
77,113,504900
78,111,513032
79,110,519348
80,109,525292
81,112,537836
82,111,547316
83,110,559980
84,110,570588
85,109,578812
86,110,597604
87,109,608252
88,110,628060
89,112,646008
90,109,664020
91,109,680992
92,113,698500
93,112,711608
94,112,717068
95,103,720500
96,99,720500
97,101,720500
98,100,720500
99,100,720500
100,100,720500
101,100,720500
102,101,720500
103,99,720500
104,101,720500
105,99,720500
106,27,720500
107,6,720500
108,5,720500
109,6,720500
110,12,720504
111,6,720488
112,5,720488
113,5,720488
114,6,720488
115,19,720488
116,6,720488
117,5,720488
118,5,720488
119,6,720488
120,41,720488
121,108,726588
122,113,740720
123,106,760760
124,104,772216
125,102,773008
126,104,773608
127,105,782192
128,106,793432
129,108,807216
130,102,817572
131,99,818116
132,100,818116
133,41,818116
134,6,818116
135,6,818116
136,5,818116
137,6,818116
138,5,818116
139,5,818116
140,6,818116
141,5,818116
142,6,818116
143,5,818116
144,5,818116
145,6,818116
146,6,818116
147,6,818116
148,5,818116
149,5,818116
150,6,818116
151,6,818116
152,5,818116
153,5,818116
154,5,818116
155,6,818116
156,5,818116
157,5,818116
158,6,818116
159,5,818116
160,5,818116
161,6,818116
162,6,818116
163,5,818116
164,5,818116
165,6,818116
166,5,818116
167,6,818116
168,5,818116
169,5,818116
170,9,818112
171,5,818112
172,5,818112
173,6,818112
174,6,818112
175,5,818112
176,5,818112
177,6,818112
178,5,818112
179,6,818112
180,53,818128
181,111,834420
182,114,855520
183,108,873668
184,104,877812
185,105,880224
186,105,886596
187,107,896556
188,115,906516
189,110,921552
190,109,937192
191,107,954216
192,100,959904
193,78,959904
194,5,959904
195,5,959904
196,6,959904
197,5,959904
198,6,959904
199,6,959904
200,5,959904
201,5,959904
202,5,959904
203,5,959904
204,5,959904
205,6,959904
206,5,959904
207,5,959904
208,5,959904
209,5,959904
210,6,959904
211,5,959904
212,7,959904
213,5,959904
214,5,959904
215,6,959904
216,6,959904
217,4,959904
218,7,959904
219,5,959904
220,5,959904
221,5,959904
222,6,959904
223,6,959904
224,5,959904
225,6,959904
226,5,959904
227,6,959904
228,5,959904
229,6,959904
230,6,959904
231,5,959904
232,6,959904
233,5,959904
234,5,959904
235,13,959920
236,6,959920
237,4,959920
238,6,959920
239,6,959920
240,65,961052
241,105,979864
242,107,995976
243,108,1010724
244,109,1018960
245,103,1023800
246,108,1031244
247,107,1041228
248,107,1051796
249,109,1056512
250,109,1062148
251,109,1070252
252,105,1081684
253,100,1082508
254,100,1082508
255,33,1082508
256,5,1082508
257,6,1082508
258,5,1082508
259,6,1082508
260,5,1082508
261,6,1082508
262,5,1082508
263,6,1082508
264,5,1082508
265,6,1082508
266,5,1082508
267,6,1082508
268,5,1082508
269,6,1082508
270,5,1082508
271,6,1082508
272,5,1082508
273,5,1082508
274,6,1082508
275,6,1082508
276,5,1082508
277,5,1082508
278,7,1082508
279,5,1082508
280,6,1082508
281,4,1082508
282,6,1082508
283,5,1082508
284,5,1082508
285,6,1082508
286,6,1082508
287,6,1082508
288,4,1082508
289,6,1082508
290,12,1082504
291,6,1082504
292,5,1082504
293,6,1082504
294,5,1082504
295,6,1082504
296,6,1082504
297,5,1082504
298,5,1082504
299,6,1082504
300,68,1082536
301,104,1087220
302,107,1087048
303,106,1087048
304,108,1087564
305,106,1087564
306,108,1086756
307,103,1091156
308,101,1091156
309,45,1091156
310,6,1091156
311,5,1091156
312,5,1091156
313,5,1091156
314,6,1091156
315,5,1091156
316,7,1091156
317,5,1091156
318,5,1091156
319,6,1091156
320,5,1091156
321,6,1091156
322,4,1091156
323,6,1091156
324,5,1091156
325,6,1091156
326,6,1091156
327,6,1091156
328,5,1091156
329,5,1091156
330,6,1091156
331,5,1091156
332,6,1091156
333,5,1091156
334,6,1091156
335,6,1091156
336,5,1091156
337,6,1091156
338,5,1091156
339,5,1091156
340,5,1091156
341,6,1091156
342,6,1091156
343,5,1091156
344,5,1091156
345,6,1091156
346,5,1091156
347,6,1091156
348,5,1091156
349,6,1091156
350,6,1091156
351,5,1091156
352,5,1091156
353,7,1091156
354,4,1091156
355,6,1091156
356,5,1091156
357,6,1091156
358,6,1091156
359,6,1091156
360,103,1096552
361,112,1110648
362,118,1127636
363,108,1126788
364,107,1126964
365,108,1126964
366,105,1127488
367,109,1129120
368,100,1129384
369,101,1129384
370,100,1129384
371,100,1129384
372,16,1129384
373,6,1129384
374,6,1129384
375,5,1129384
376,5,1129384
377,6,1129384
378,5,1129384
379,5,1129384
380,6,1129384
381,5,1129384
382,6,1129384
383,6,1129384
384,5,1129384
385,5,1129384
386,6,1129384
387,5,1129384
388,5,1129384
389,6,1129384
390,5,1129384
391,6,1129384
392,5,1129384
393,6,1129384
394,5,1129384
395,6,1129384
396,6,1129384
397,5,1129384
398,6,1129384
399,5,1129384
400,5,1129384
401,6,1129384
402,5,1129384
403,5,1129384
404,6,1129384
405,6,1129384
406,5,1129384
407,5,1129384
408,6,1129384
409,6,1129384
410,5,1129384
411,6,1129384
412,5,1129384
413,6,1129384
414,5,1129384
415,5,1129384
416,6,1129384
417,6,1129384
418,5,1129384
419,5,1129384
420,66,1129396
421,114,1129180
422,110,1129400
423,131,1132040
424,142,1142532
425,129,1173448
426,111,1172720
427,112,1175088
428,112,1176896
429,118,1178488
430,101,1178488
431,100,1178488
432,101,1178488
433,100,1178488
434,99,1178488
435,101,1178488
436,100,1178488
437,100,1178488
438,99,1178488
439,100,1178488
440,101,1178488
441,100,1178488
442,39,1178488
443,5,1178488
444,5,1178488
445,6,1178488
446,6,1178488
447,5,1178488
448,5,1178488
449,6,1178488
450,6,1178488
451,5,1178488
452,5,1178488
453,6,1178488
454,5,1178488
455,6,1178488
456,5,1178488
457,6,1178488
458,5,1178488
459,5,1178488
460,6,1178488
461,6,1178488
462,5,1178488
463,5,1178488
464,6,1178488
465,6,1178488
466,4,1178488
467,6,1178488
468,5,1178488
469,6,1178488
470,6,1178488
471,5,1178488
472,6,1178488
473,6,1178488
474,5,1178488
475,7,1179496
476,13,1179496
477,6,1179496
478,5,1179496
