,
,CPU,Memory,
Time,%CPU,RAM used
0,112,280892
1,118,287808
2,114,301600
3,118,304608
4,114,309292
5,99,313108
6,102,314184
7,100,315128
8,105,320064
9,107,323892
10,104,328072
11,102,328128
12,106,328140
13,107,334332
14,108,343000
15,106,350256
16,108,358544
17,107,368828
18,107,378628
19,106,385228
20,108,392924
21,107,401928
22,106,411672
23,82,423052
24,74,429484
25,113,444136
26,115,455780
27,124,458768
28,151,482112
29,146,506508
30,160,535928
31,144,561796
32,159,581424
33,154,624568
34,158,661860
35,177,719140
36,176,856600
37,156,882160
38,149,914072
39,166,946500
40,146,952884
41,185,973456
42,217,1031964
43,130,1122884
44,144,1126544
45,151,1172760
46,111,1211468
47,61,1213072
48,5,1232552
49,6,1232552
50,6,1232552
51,5,1232552
52,5,1232552
53,6,1232552
54,8,1232552
55,6,1232580
56,6,1232580
57,5,1232580
58,6,1232580
59,5,1232580
60,48,1232580
61,140,1292232
62,126,1248380
63,117,1153992
64,109,1147708
65,114,1147460
66,107,1147336
67,104,1146784
68,107,1144676
69,106,1139276
70,107,1132844
71,114,1125048
72,122,1113000
73,117,1101044
74,135,1100252
75,124,1098852
76,151,1088588
77,142,1076244
78,136,1079948
79,169,1019944
80,174,1066120
81,139,1049832
82,185,1046700
83,189,1029856
84,146,1047980
85,121,1051608
86,152,1065800
87,72,1098492
88,8,1098492
89,6,1098492
90,6,1098492
91,5,1098492
92,6,1098492
93,5,1098492
94,6,1098492
95,5,1098492
96,6,1098492
97,6,1098492
98,4,1098492
99,6,1098492
100,6,1098492
101,5,1098492
102,5,1098492
103,6,1098492
104,6,1098492
105,5,1098492
106,5,1098492
107,6,1098492
108,5,1098492
109,8,1098492
110,11,1098472
111,5,1098472
112,6,1098472
113,5,1098472
114,6,1098472
115,9,1098496
116,5,1098496
117,6,1098496
118,6,1098496
119,5,1098496
120,89,1098832
121,157,1110888
122,199,1083400
123,212,1074564
124,149,1020264
125,136,1018852
126,154,1027028
127,141,1023272
128,180,1003796
129,201,1015792
130,196,1069100
131,202,1153892
132,212,1264272
133,32,1315380
134,5,1315380
135,6,1315380
136,6,1315380
137,5,1315380
138,5,1315380
139,6,1315380
140,5,1315380
141,6,1315380
142,5,1315380
143,6,1315380
144,5,1315380
145,6,1315380
146,5,1315380
147,6,1315380
148,5,1315380
149,6,1315380
150,5,1315380
151,6,1315380
152,5,1315380
153,6,1315380
154,5,1315380
155,6,1315380
156,6,1315380
157,5,1315380
158,5,1315380
159,6,1315380
160,5,1315380
161,6,1315380
162,5,1315380
163,6,1315380
164,4,1315380
165,7,1315380
166,5,1315380
167,6,1315380
168,5,1315380
169,5,1315380
170,6,1315380
171,5,1315380
172,6,1315380
173,6,1315380
174,5,1315380
175,5,1315380
176,5,1315380
177,7,1315380
178,5,1315380
179,6,1315380
180,112,1320204
181,223,1294720
182,198,1074832
183,139,1047368
184,112,1049412
185,104,1050132
186,99,1050132
187,111,1049500
188,109,1054164
189,107,1054924
190,116,1049696
191,138,1047548
192,133,1054056
193,133,1036080
194,167,1033216
195,143,1012572
196,162,1019408
197,108,1022732
198,98,1021948
199,18,1022152
200,6,1022152
201,5,1022152
202,5,1022152
203,6,1022152
204,5,1022152
205,6,1022152
206,5,1022152
207,6,1022152
208,5,1022152
209,5,1022152
210,5,1022152
211,6,1022152
212,5,1022152
213,6,1022152
214,5,1022152
215,6,1022152
216,5,1022152
217,6,1022152
218,5,1022152
219,6,1022152
220,5,1022152
221,6,1022152
222,5,1022152
223,6,1022152
224,6,1022152
225,5,1022152
226,5,1022152
227,6,1022152
228,6,1022152
229,4,1022152
230,6,1022152
231,5,1022152
232,6,1022152
233,6,1022152
234,5,1022152
235,11,1022152
236,6,1022152
237,6,1022152
238,5,1022152
239,5,1022152
