
,TCP,
interval,frames,Bytes
1,799,755968
2,818,758588
3,457,410737
4,404,339533
5,311,163017
6,352,220064
7,163,114589
8,141,87816
9,183,139479
10,127,103902
11,158,134294
12,309,275614
13,334,306708
14,289,258662
15,158,134924
16,5,300
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,5,1661
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,2,132
37,10,660
38,10,660
39,0,0
40,0,0
41,2,102
42,0,0
43,0,0
44,0,0
45,2,132
46,0,0
47,0,0
48,0,0
49,0,0
50,2,102
51,0,0
52,0,0
53,5,1661
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,25,11066
61,164,108725
62,129,97722
63,91,65555
64,130,100434
65,78,62260
66,58,40881
67,135,112560
68,63,45262
69,67,46479
70,93,70447
71,138,113508
72,165,141799
73,152,124211
74,148,114031
75,120,97232
76,237,215023
77,161,137008
78,163,136403
79,159,136090
80,299,276460
81,197,174270
82,302,259572
83,268,233158
84,184,157892
85,339,314969
86,276,252131
87,294,257745
88,400,369534
89,468,435108
90,361,337794
91,467,431605
92,369,318502
93,240,174429
94,99,84698
95,16,6425
96,0,0
97,0,0
98,2,132
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,5,1662
115,0,0
116,0,0
117,0,0
118,0,0
119,2,102
120,38,23605
121,63,34793
122,89,61826
123,127,97719
124,118,84354
125,59,33244
126,103,74691
127,161,137361
128,221,182867
129,206,189153
130,62,46992
131,5,300
132,5,300
133,5,300
134,0,0
135,2,132
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,15,990
156,0,0
157,0,0
158,0,0
159,2,132
160,2,102
161,0,0
162,0,0
163,1,60
164,1,60
165,1,60
166,1,60
167,1,60
168,1,60
169,1,60
170,1,60
171,1,60
172,7,456
173,17,1116
174,1,60
175,0,0
176,0,0
177,2,102
178,0,0
179,0,0
180,56,38778
181,112,76847
182,131,85113
183,156,130989
184,124,93915
185,105,73296
186,124,100445
187,159,144510
188,184,169059
189,270,247434
190,316,282426
191,299,267353
192,7,1198
193,5,300
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,2,132
205,0,0
206,0,0
207,0,0
208,0,0
209,2,102
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,4,264
218,17,1122
219,1,66
220,2,102
221,0,0
222,0,0
223,1,60
224,1,60
225,3,192
226,1,60
227,1,60
228,1,60
229,1,60
230,1,60
231,3,192
232,15,984
233,7,456
234,6,1722
235,0,0
236,2,102
237,0,0
238,0,0
239,2,132
240,52,21206
241,142,103029
242,224,197126
243,210,190034
244,105,83204
245,90,71155
246,140,112743
247,128,103666
248,187,168222
249,195,164826
250,190,166623
251,198,174686
252,172,144175
253,9,3856
254,0,0
255,0,0
256,0,0
257,0,0
258,2,102
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,2,132
280,0,0
281,0,0
282,0,0
283,1,60
284,3,162
285,1,60
286,1,60
287,1,60
288,1,60
289,1,60
290,1,60
291,1,60
292,1,60
293,1,60
294,1,60
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,11,5659
301,73,55101
302,173,131651
303,152,124429
304,151,126555
305,140,103470
306,160,137643
307,118,104049
308,0,0
309,0,0
310,0,0
311,0,0
312,6,396
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,2,132
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,1,60
344,1,60
345,1,60
346,1,60
347,1,60
348,1,60
349,1,60
350,1,60
351,1,60
352,1,60
353,1,60
354,1,60
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,18,8321
361,100,74072
362,66,47006
363,98,76654
364,145,116371
365,125,98006
366,158,133763
367,210,184499
368,70,58295
369,10,7217
370,0,0
371,5,300
372,5,300
373,5,300
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,1,60
404,1,60
405,1,60
406,1,60
407,1,60
408,1,60
409,1,60
410,1,60
411,1,60
412,1,60
413,1,60
414,2,126
415,1,66
416,0,0
417,0,0
418,0,0
419,0,0
420,10,1608
421,93,60722
422,132,102432
423,81,55243
424,43,25297
425,94,53379
426,127,90538
427,108,90002
428,182,147807
429,506,457152
430,245,224763
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,4,234
461,0,0
462,0,0
463,2,132
464,0,0
465,0,0
466,0,0
467,0,0
468,2,102
469,0,0
470,2,126
471,0,0
472,1,60
473,1,60
474,1,60
475,18,7108
476,1,60
477,1,60
478,1,60
479,1,60
480,1,60
