
,TCP,
interval,frames,Bytes
1,697,639932
2,669,597841
3,467,407688
4,453,355993
5,493,372669
6,269,183017
7,357,281783
8,350,299348
9,189,167457
10,128,117712
11,160,132768
12,246,218131
13,283,261206
14,231,206219
15,272,239211
16,5,300
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,5,1662
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,18,10538
31,152,122011
32,125,99450
33,63,47054
34,66,50670
35,79,60328
36,64,41697
37,68,49643
38,103,77711
39,107,79779
40,106,81626
41,147,122713
42,151,120958
43,167,140049
44,110,88088
45,185,169068
46,165,144652
47,187,158745
48,164,143101
49,236,213080
50,303,266429
51,201,172211
52,303,278406
53,214,183994
54,320,298313
55,293,265335
56,376,346974
57,379,344058
58,378,351666
59,420,401126
60,450,416664
61,144,124684
62,108,84036
63,136,111701
64,163,127678
65,105,74072
66,121,101826
67,167,149273
68,208,188984
69,237,215074
70,23,18330
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,2,132
82,8,528
83,4,264
84,6,396
85,3,198
86,5,330
87,0,0
88,0,0
89,0,0
90,0,0
91,169,131399
92,97,72951
93,113,90019
94,136,107886
95,102,78229
96,97,76473
97,182,161458
98,217,196711
99,294,264993
100,311,282100
101,245,209980
102,8,1215
103,5,300
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,2,102
112,0,0
113,0,0
114,5,1663
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,18,9641
121,105,81789
122,187,157492
123,122,107291
124,153,134635
125,127,109020
126,130,106409
127,135,114347
128,163,138616
129,249,217922
130,213,182130
131,210,173235
132,77,63159
133,5,300
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,5,300
151,16,9451
152,147,117936
153,145,115832
154,169,141972
155,141,118245
156,147,121446
157,145,128657
158,0,0
159,2,132
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,2,132
172,5,330
173,6,390
174,5,324
175,7,456
176,7,456
177,1,60
178,1,60
179,1,60
180,1,60
181,61,41509
182,118,85821
183,53,35705
184,179,151003
185,184,163213
186,184,174740
187,189,166009
188,0,0
189,0,0
190,0,0
191,11,696
192,5,300
193,5,300
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,2,132
205,0,0
206,0,0
207,0,0
208,0,0
209,2,102
210,19,10776
211,83,60996
212,141,104377
213,37,22243
214,81,45302
215,82,48778
216,125,100523
217,114,91718
218,133,110302
219,380,336207
220,481,449887
221,315,243372
222,104,90153
223,15,7147
224,0,0
225,0,0
226,0,0
227,2,132
228,0,0
229,0,0
230,2,132
231,4,264
232,6,396
233,6,390
234,6,390
235,12,2119
236,1,60
237,1,60
238,1,60
239,1,60
240,1,60
