
,TCP,
interval,frames,Bytes
1,409,355599
2,310,267250
3,388,315417
4,327,231134
5,221,137061
6,124,83038
7,109,80198
8,209,171797
9,230,209117
10,43,29021
11,66,45444
12,368,341561
13,347,286295
14,381,341847
15,427,397210
16,421,395590
17,362,340803
18,276,259086
19,313,292182
20,370,344537
21,390,347433
22,386,357259
23,443,408739
24,402,354014
25,400,356056
26,425,394020
27,585,533911
28,507,489007
29,522,497718
30,546,494090
31,447,420737
32,497,471778
33,417,402764
34,629,612756
35,424,405729
36,551,492922
37,729,679598
38,550,539441
39,317,286683
40,210,190769
41,262,220027
42,393,361414
43,498,413775
44,517,455856
45,444,411167
46,22,12846
47,5,300
48,5,300
49,0,0
50,0,0
51,1,66
52,0,0
53,3,2260
54,2,433
55,2,102
56,0,0
57,5,300
58,5,300
59,5,300
60,134,111599
61,43,25895
62,191,165329
63,308,269387
64,304,278259
65,44,25688
66,292,274123
67,236,225951
68,321,274811
69,377,350789
70,424,402850
71,483,468538
72,415,390650
73,486,468467
74,440,401100
75,365,330104
76,440,425721
77,395,362284
78,421,387949
79,378,356521
80,460,425326
81,299,255052
82,282,237158
83,380,345665
84,594,523325
85,485,444380
86,430,411923
87,3,1534
88,0,0
89,0,0
90,5,300
91,5,300
92,5,300
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,2,132
100,0,0
101,5,300
102,5,300
103,5,300
104,2,102
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,5,1663
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,144,100879
121,211,175121
122,207,187671
123,48,41863
124,173,149018
125,285,264530
126,358,343465
127,448,414329
128,453,430270
129,155,126418
130,439,397861
131,305,262201
132,306,263893
133,0,0
134,0,0
135,6,396
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,1,66
159,1,66
160,0,0
161,0,0
162,0,0
163,0,0
164,2,102
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,2,132
172,10,654
173,10,654
174,7,456
175,1,60
176,3,162
177,1,60
178,1,60
179,2,925
180,118,74625
181,276,242020
182,270,242380
183,260,230203
184,162,149640
185,40,27652
186,66,47420
187,341,324637
188,219,193196
189,344,320525
190,412,362331
191,471,446060
192,330,308144
193,358,331932
194,402,362708
195,477,458633
196,659,623346
197,586,551253
198,296,284518
199,0,0
200,0,0
201,5,300
202,5,300
203,5,300
204,2,132
205,0,0
206,0,0
207,0,0
208,0,0
209,2,102
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,2,132
217,7,462
218,9,594
219,8,528
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,12,792
232,7,456
233,9,588
234,6,1723
235,1,60
236,3,162
237,1,60
238,1,60
239,1,60
240,117,72485
241,85,58310
242,74,53792
243,272,232330
244,266,247801
245,347,326204
246,229,210617
247,298,279717
248,262,239015
249,316,301354
250,503,456195
251,427,383906
252,297,269156
253,229,206521
254,447,393011
255,373,362043
256,338,311539
257,0,0
258,2,102
259,0,0
260,0,0
261,5,300
262,5,300
263,5,300
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,2,132
280,0,0
281,0,0
282,0,0
283,0,0
284,2,102
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,1,60
293,1,60
294,1,60
295,1,60
296,1,60
297,1,60
298,1,60
299,1,60
300,24,14613
301,168,152761
302,200,158935
303,392,362927
304,155,145400
305,198,159720
306,299,281381
307,349,322854
308,215,175771
309,379,371637
310,232,204508
311,433,374866
312,5,300
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,5,300
322,5,300
323,5,300
324,2,132
325,0,0
326,0,0
327,0,0
328,0,0
329,2,102
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,3,162
353,1,60
354,1,60
355,1,60
356,1,60
357,1,60
358,1,60
359,1,60
360,87,69521
361,175,152381
362,329,300451
363,374,343630
364,176,168104
365,380,362557
366,94,74183
367,207,180044
368,422,397158
369,305,276201
370,680,647691
371,501,469476
372,273,250329
373,448,408213
374,563,540238
375,575,549036
376,462,443224
377,571,544324
378,102,95306
379,0,0
380,0,0
381,5,300
382,5,300
383,5,300
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,5,300
393,5,300
394,5,300
395,0,0
396,0,0
