
,TCP,
interval,frames,Bytes
1,1363,1466512
2,1035,1011286
3,783,602198
4,1884,1740514
5,1399,998452
6,503,344817
7,865,689839
8,590,448514
9,516,302545
10,251,86268
11,359,171889
12,407,217645
13,342,129771
14,299,115640
15,275,114579
16,272,141777
17,279,141626
18,194,56072
19,174,67389
20,36,14558
21,0,0
22,0,0
23,0,0
24,3,262
25,3,262
26,0,0
27,3,262
28,0,0
29,6,524
30,61,29872
31,424,202583
32,385,212001
33,390,184816
34,367,145406
35,510,287363
36,1003,866027
37,391,199936
38,313,134439
39,364,115804
40,392,175739
41,417,192965
42,461,176549
43,561,266103
44,351,128952
45,392,155402
46,336,111984
47,443,215257
48,437,203110
49,394,130124
50,335,117482
51,386,171244
52,459,242951
53,397,157956
54,318,133040
55,347,162246
56,392,197281
57,325,139031
58,351,177452
59,352,168517
60,257,79891
61,555,248075
62,624,313806
63,453,214345
64,462,226993
65,531,303920
66,453,257224
67,477,263807
68,229,53061
69,320,129396
70,277,156806
71,177,82821
72,61,28021
73,0,0
74,3,262
75,6,460
76,0,0
77,3,262
78,0,0
79,6,524
80,0,0
81,0,0
82,0,0
83,0,0
84,3,262
85,3,262
86,0,0
87,3,262
88,0,0
89,6,524
90,9,8876
91,606,412305
92,854,642662
93,685,479545
94,446,216638
95,445,239620
96,458,197229
97,369,158156
98,431,242204
99,497,286084
100,344,125627
101,270,114378
102,244,116746
103,252,128996
104,133,63626
105,3,262
106,0,0
107,3,262
108,0,0
109,6,524
110,10,1363
111,0,0
112,0,0
113,0,0
114,3,262
115,3,262
116,0,0
117,3,262
118,0,0
119,6,524
120,73,47049
121,586,380700
122,476,253731
123,312,132199
124,328,124042
125,334,143822
126,354,136321
127,340,123484
128,343,127438
129,355,109471
130,296,89038
131,312,87308
132,234,78161
133,253,119577
134,236,77314
135,220,73789
136,226,68887
137,198,73261
138,8,1032
139,6,524
140,0,0
141,0,0
142,0,0
143,0,0
144,3,262
145,3,262
146,0,0
147,3,262
148,0,0
149,6,524
150,6,1951
151,180,98956
152,561,294486
153,630,346368
154,721,460434
155,589,310123
156,442,215391
157,223,55524
158,45,19441
159,6,524
160,0,0
161,0,0
162,0,0
163,0,0
164,3,262
165,3,262
166,0,0
167,3,262
168,0,0
169,6,524
170,3,198
171,0,0
172,0,0
173,0,0
174,3,262
175,3,262
176,0,0
177,3,262
178,0,0
179,6,524
180,19,15682
181,592,375430
182,880,557619
183,757,454817
184,608,325592
185,639,293401
186,534,246038
187,540,318530
188,256,93115
189,255,102383
190,396,118655
191,328,124097
192,315,132574
193,350,150936
194,280,93340
195,266,89703
196,160,54008
197,166,65164
198,171,62665
199,78,19704
200,0,0
201,0,0
202,0,0
203,0,0
204,3,262
205,3,262
206,0,0
207,3,262
208,0,0
209,6,524
210,67,24445
211,622,376439
212,807,444218
213,975,436602
214,589,223319
215,614,307782
216,876,548263
217,797,599014
218,495,328469
219,504,345580
220,388,209380
221,429,208257
222,333,95925
223,243,110069
224,3,262
225,3,262
226,0,0
227,3,262
228,0,0
229,6,524
230,0,0
231,0,0
232,0,0
233,0,0
234,3,262
235,3,262
236,0,0
237,3,262
238,0,0
239,6,524
240,10,1156
