
,TCP,
interval,frames,Bytes
1,2098,2291538
2,1008,945952
3,1029,781331
4,1308,920041
5,639,399397
6,346,222140
7,607,507099
8,375,168157
9,382,235743
10,197,90993
11,274,129329
12,241,114913
13,171,36668
14,209,85381
15,229,94470
16,229,120827
17,188,68833
18,209,67253
19,205,60801
20,235,71225
21,184,48227
22,227,125720
23,204,106498
24,383,213701
25,496,387380
26,157,51214
27,282,160981
28,167,37205
29,160,35652
30,208,94153
31,137,35121
32,152,37666
33,148,43925
34,147,24229
35,790,1194796
36,356,279278
37,355,204756
38,342,198453
39,454,434612
40,463,600742
41,788,880287
42,618,687864
43,613,1168307
44,159,120912
45,93,26894
46,46,15940
47,156,50214
48,170,97751
49,404,400530
50,174,103241
51,172,57011
52,795,811465
53,1092,1022311
54,947,938324
55,364,254683
56,52,11714
57,86,21036
58,389,337213
59,141,42898
60,262,184345
61,458,317294
62,720,894274
63,576,588182
64,437,134528
65,401,180135
66,319,127661
67,325,158148
68,221,79301
69,216,61273
70,258,113742
71,369,482073
72,433,308500
73,317,149606
74,404,226470
75,294,185651
76,189,97757
77,142,33548
78,170,73451
79,363,480361
80,395,517771
81,403,567226
82,423,335286
83,549,803647
84,251,334103
85,734,994310
86,369,510573
87,247,131108
88,749,760861
89,632,617309
90,914,906011
91,470,429554
92,102,38208
93,184,82387
94,435,374755
95,662,614723
96,130,46914
97,116,83243
98,335,320333
99,186,114636
100,60,22736
101,95,36810
102,210,157518
103,887,997442
104,155,120582
105,47,11038
106,0,0
107,0,0
108,9,786
109,10,1363
110,0,0
111,0,0
112,0,0
113,3,262
114,0,0
115,6,460
116,0,0
117,0,0
118,9,786
119,15,1740
120,467,403144
121,755,724632
122,1104,1448423
123,1265,1254569
124,402,254230
125,177,103567
126,421,304866
127,881,777640
128,749,696739
129,349,270491
130,336,285616
131,357,309341
132,238,193690
133,613,669947
134,583,613919
135,304,303715
136,93,32130
137,325,301505
138,115,34514
139,175,150324
140,52,21702
141,32,4098
142,0,0
143,3,262
144,0,0
145,3,262
146,0,0
147,0,0
148,9,786
149,0,0
150,3,198
151,0,0
152,0,0
153,3,262
154,0,0
155,6,460
156,0,0
157,0,0
158,9,786
159,0,0
160,0,0
161,0,0
162,0,0
163,3,262
164,0,0
165,3,262
166,0,0
167,0,0
168,9,786
169,0,0
170,3,198
171,0,0
172,0,0
173,3,262
174,0,0
175,3,262
176,0,0
177,0,0
178,9,786
179,28,13496
180,470,469516
181,576,647942
182,286,195997
183,257,126178
184,194,54009
185,269,103596
186,272,146752
187,272,180508
188,264,99807
189,384,306467
190,309,289491
191,183,93015
192,607,828702
193,283,252792
194,774,1112787
195,488,724810
196,356,316412
197,156,57832
198,300,258154
199,408,357312
200,506,482083
201,297,134290
202,112,92787
203,1120,1170568
204,162,84208
205,82,40388
206,99,25096
207,64,8174
208,61,7446
209,373,358733
210,759,876846
211,107,79568
212,16,7042
213,3,262
214,0,0
215,3,262
216,0,0
217,0,0
218,9,786
219,0,0
220,0,0
221,0,0
222,0,0
223,3,262
224,0,0
225,3,262
226,0,0
227,0,0
228,9,786
229,0,0
230,0,0
231,0,0
232,0,0
233,3,262
234,0,0
235,3,262
236,0,0
237,0,0
238,9,786
239,0,0
240,352,366656
241,348,176214
242,257,156915
243,519,575930
244,493,362895
245,447,293753
246,289,109991
247,403,259381
248,426,295549
249,331,232080
250,241,181769
251,396,437530
252,378,442881
253,580,700604
254,192,154244
255,391,457343
256,469,408312
257,267,238626
258,476,457204
259,170,57853
260,512,475681
261,95,45957
262,184,130064
263,325,304981
264,95,69180
265,39,9994
266,208,183795
267,137,139816
268,166,136607
269,22,7902
270,0,0
271,0,0
272,0,0
273,3,262
274,0,0
275,3,262
276,0,0
277,0,0
278,9,786
279,0,0
280,0,0
281,0,0
282,0,0
283,3,262
284,0,0
285,3,262
286,0,0
287,0,0
288,9,786
289,0,0
290,0,0
291,0,0
292,0,0
293,3,262
294,0,0
295,3,262
296,0,0
297,0,0
298,9,786
299,0,0
300,509,559139
301,1048,1109006
302,464,484784
303,637,727864
304,498,333305
305,708,533279
306,382,184947
307,387,279355
308,492,488869
309,506,587298
310,1087,1517918
311,279,146412
312,103,79355
313,59,17652
314,99,73483
315,303,283820
316,191,168136
317,153,125242
318,183,131954
319,418,427036
320,269,238853
321,251,236316
322,187,169770
323,248,258531
324,0,0
325,3,262
326,0,0
327,0,0
328,6,524
329,3,262
