
,TCP,
interval,frames,Bytes
1,104,11208
2,1570,1627637
3,1204,1125658
4,1517,1174244
5,1322,1167668
6,647,407486
7,294,194503
8,289,133367
9,530,392092
10,433,176425
11,354,113395
12,371,190194
13,239,118535
14,271,153115
15,272,129613
16,215,60065
17,253,109846
18,200,56434
19,254,93034
20,65,22911
21,0,0
22,3,262
23,0,0
24,0,0
25,0,0
26,3,262
27,3,262
28,0,0
29,6,524
30,0,0
31,0,0
32,3,262
33,0,0
34,0,0
35,0,0
36,3,262
37,3,262
38,0,0
39,6,524
40,0,0
41,0,0
42,3,262
43,0,0
44,0,0
45,0,0
46,3,262
47,3,262
48,0,0
49,6,524
50,7,1165
51,0,0
52,3,262
53,6,396
54,0,0
55,0,0
56,3,262
57,3,262
58,0,0
59,6,524
60,0,0
61,328,200964
62,442,221724
63,569,363140
64,404,161720
65,312,95709
66,376,132861
67,344,159250
68,164,66951
69,147,60241
70,4,476
71,0,0
72,9,658
73,3,198
74,0,0
75,0,0
76,3,262
77,3,262
78,0,0
79,6,524
80,0,0
81,0,0
82,3,262
83,0,0
84,0,0
85,0,0
86,3,262
87,3,262
88,0,0
89,6,524
90,0,0
91,0,0
92,3,262
93,0,0
94,0,0
95,0,0
96,3,262
97,3,262
98,0,0
99,6,524
100,0,0
101,0,0
102,3,262
103,0,0
104,0,0
105,0,0
106,3,262
107,3,262
108,0,0
109,6,524
110,10,1363
111,0,0
112,3,262
113,0,0
114,0,0
115,0,0
116,3,262
117,3,262
118,0,0
119,6,524
120,0,0
121,137,39069
122,417,208707
123,954,497470
124,873,388821
125,685,399929
126,580,344528
127,342,190394
128,0,0
129,6,524
130,0,0
131,0,0
132,3,262
133,0,0
134,0,0
135,0,0
136,3,262
137,3,262
138,0,0
139,6,524
140,0,0
141,0,0
142,3,262
143,0,0
144,0,0
145,0,0
146,3,262
147,3,262
148,0,0
149,6,524
150,0,0
151,0,0
152,3,262
153,0,0
154,0,0
155,0,0
156,3,262
157,3,262
158,0,0
159,6,524
160,0,0
161,0,0
162,3,262
163,0,0
164,0,0
165,0,0
166,3,262
167,3,262
168,0,0
169,6,524
170,0,0
171,3,198
172,3,262
173,0,0
174,0,0
175,0,0
176,3,262
177,3,262
178,0,0
179,6,524
180,0,0
181,176,119282
182,284,184465
183,383,274292
184,355,197848
185,301,187192
186,101,57145
187,24,9691
188,2,242
189,6,524
190,0,0
191,0,0
192,3,262
193,0,0
194,0,0
195,0,0
196,3,262
197,3,262
198,0,0
199,6,524
200,0,0
201,0,0
202,3,262
203,0,0
204,0,0
205,0,0
206,3,262
207,3,262
208,0,0
209,6,524
210,0,0
211,0,0
212,3,262
213,0,0
214,0,0
215,0,0
216,3,262
217,3,262
218,0,0
219,6,524
220,0,0
221,0,0
222,3,262
223,0,0
224,0,0
225,0,0
226,3,262
227,3,262
228,0,0
229,6,524
230,0,0
231,0,0
232,3,262
233,0,0
234,0,0
235,0,0
236,3,262
237,3,262
238,0,0
239,6,524
240,0,0
241,224,136505
242,432,288260
243,361,196561
244,332,188918
245,305,167870
246,54,19687
247,3,262
248,0,0
249,6,524
250,0,0
251,0,0
252,3,262
253,0,0
254,0,0
255,0,0
256,3,262
257,3,262
258,0,0
259,6,524
260,0,0
261,0,0
262,3,262
263,0,0
264,0,0
265,0,0
266,3,262
267,3,262
268,0,0
269,6,524
270,0,0
271,0,0
272,3,262
273,0,0
274,0,0
275,0,0
276,3,262
277,3,262
278,0,0
279,6,524
280,0,0
281,0,0
282,3,262
283,0,0
284,0,0
285,0,0
286,3,262
287,3,262
288,0,0
289,6,524
290,0,0
291,0,0
292,3,262
293,0,0
294,0,0
295,0,0
296,3,262
297,3,262
298,0,0
299,6,524
300,2,238
301,71,25977
302,118,37390
303,191,75153
304,553,222062
305,804,336492
306,611,346561
307,46,18145
308,0,0
309,6,524
310,0,0
311,0,0
312,3,262
313,0,0
314,0,0
315,0,0
316,3,262
317,3,262
318,0,0
319,6,524
320,0,0
321,0,0
322,3,262
323,0,0
324,0,0
325,0,0
326,3,262
327,3,262
328,0,0
329,6,524
330,0,0
331,0,0
332,3,262
333,0,0
334,0,0
335,0,0
336,3,262
337,3,262
338,0,0
339,6,524
340,0,0
341,0,0
342,3,262
343,0,0
344,0,0
345,0,0
346,3,262
347,3,262
348,0,0
349,6,524
350,0,0
351,0,0
352,3,262
353,0,0
354,0,0
355,0,0
356,3,262
357,3,262
358,0,0
359,6,524
360,0,0
361,467,254275
362,726,359719
363,843,531970
364,852,487572
365,541,204491
366,391,141951
367,694,387625
368,352,188559
369,20,8265
370,0,0
371,0,0
372,3,262
373,0,0
374,0,0
375,0,0
376,3,262
377,3,262
378,0,0
379,6,524
380,0,0
381,0,0
382,3,262
383,0,0
384,0,0
385,0,0
386,3,262
387,3,262
388,0,0
389,6,524
390,0,0
391,0,0
392,3,262
393,0,0
394,0,0
395,0,0
396,3,262
397,3,262
398,0,0
399,6,524
400,0,0
401,0,0
402,3,262
403,0,0
404,0,0
405,0,0
406,3,262
407,3,262
408,0,0
409,6,524
410,0,0
411,0,0
412,3,262
413,0,0
414,0,0
415,0,0
416,3,262
417,3,262
418,0,0
419,6,524
420,0,0
421,293,161594
422,603,305041
423,149,56240
424,99,49666
425,18,13896
426,3,262
427,3,262
428,3,198
429,6,524
430,0,0
431,0,0
432,3,262
433,0,0
434,0,0
435,0,0
436,3,262
437,3,262
438,0,0
439,6,524
440,0,0
441,0,0
442,3,262
443,0,0
444,0,0
445,0,0
446,3,262
447,3,262
448,0,0
449,6,524
450,0,0
451,0,0
452,3,262
453,0,0
454,0,0
455,0,0
456,3,262
457,3,262
458,0,0
459,6,524
460,0,0
461,0,0
462,3,262
463,0,0
464,0,0
465,0,0
466,3,262
467,3,262
468,0,0
469,6,524
470,0,0
471,0,0
472,3,262
473,0,0
474,0,0
475,0,0
476,3,262
477,3,262
478,0,0
479,6,524
480,9,1122
