
,TCP,
interval,frames,Bytes
1,38,6776
2,31,5549
3,26,4643
4,29,5150
5,38,6719
6,55,9709
7,53,9288
8,57,9921
9,58,10092
10,57,9918
11,61,10614
12,56,9744
13,60,10440
14,56,9744
15,52,9060
16,60,10500
17,60,10500
18,40,7000
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,1,175
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,9,1575
31,36,6300
32,36,6306
33,34,5984
34,32,5632
35,32,5632
36,34,5984
37,39,6864
38,40,7056
39,38,6726
40,38,6726
41,30,5310
42,31,5487
43,30,5310
44,30,5310
45,30,5310
46,30,5310
47,30,5310
48,30,5310
49,30,5310
50,30,5310
51,30,5310
52,30,5310
53,21,3717
54,15,2655
55,30,5310
56,30,5310
57,30,5310
58,30,5310
59,30,5310
60,30,5296
61,30,5280
62,30,5280
63,35,6181
64,42,7377
65,55,9625
66,56,9800
67,56,9800
68,55,9625
69,60,10500
70,60,10500
71,59,10325
72,23,4025
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,3,528
91,29,5104
92,31,5456
93,39,6864
94,46,8096
95,47,8272
96,50,8800
97,51,8976
98,50,8800
99,57,9981
100,50,8750
101,40,7000
102,44,7700
103,45,7875
104,46,8050
105,1,175
106,0,0
107,0,0
108,0,0
109,0,0
110,2,350
111,0,0
112,0,0
113,0,0
114,0,0
115,1,175
116,0,0
117,0,0
118,0,0
119,0,0
120,7,1232
121,30,5273
122,30,5250
123,35,6125
124,43,7525
125,52,9100
126,50,8750
127,52,9100
128,52,9093
129,46,8004
130,36,6264
131,30,5220
132,30,5220
133,33,5742
134,24,4176
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,2,350
151,27,4725
152,30,5250
153,30,5250
154,32,5600
155,36,6300
156,38,6650
157,37,6475
158,46,8025
159,59,10266
160,1,174
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,1,174
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,9,1575
181,33,5775
182,30,5250
183,30,5250
184,30,5250
185,31,5411
186,32,5568
187,31,5394
188,40,6933
189,48,8304
190,1,173
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,5,870
211,27,4729
212,30,5280
213,30,5280
214,30,5287
215,30,5302
216,29,5104
217,29,5104
218,31,5456
219,30,5280
220,30,5280
221,30,5280
222,30,5280
223,30,5280
224,30,5280
225,30,5280
226,30,5280
227,30,5280
228,30,5280
229,30,5280
230,30,5280
231,30,5280
232,30,5280
233,29,5104
234,0,0
235,0,0
236,1,176
