
,TCP,
interval,frames,Bytes
1,34,6086
2,31,5548
3,30,5334
4,34,6018
5,44,7717
6,51,8841
7,53,9134
8,54,9279
9,58,9918
10,59,10089
11,60,10260
12,60,10260
13,59,10089
14,58,9956
15,60,10320
16,59,10148
17,57,9804
18,49,8428
19,42,7224
20,37,6364
21,30,5160
22,29,4988
23,9,1548
24,26,4472
25,27,4644
26,30,5160
27,29,4988
28,30,5160
29,30,5160
30,30,5160
31,30,5160
32,30,5160
33,29,4988
34,29,4988
35,29,4988
36,30,5160
37,29,4988
38,28,4816
39,30,5160
40,29,4988
41,28,4816
42,28,4816
43,30,5160
44,29,4988
45,29,4988
46,30,5160
47,1,172
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,1,172
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,16,2752
61,26,4472
62,29,4988
63,35,6034
64,48,8304
65,56,9688
66,54,9342
67,58,10034
68,58,10034
69,58,10034
70,60,10380
71,37,6401
72,36,6228
73,31,5363
74,31,5363
75,30,5190
76,31,5363
77,35,6055
78,32,5536
79,30,5190
80,30,5190
81,30,5190
82,28,4844
83,30,5190
84,30,5190
85,30,5190
86,29,5017
87,5,865
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,1,173
110,1,173
111,0,0
112,0,0
113,0,0
114,1,173
115,0,0
116,0,0
117,0,0
118,0,0
119,2,346
120,22,3806
121,30,5190
122,29,4996
123,28,4816
124,28,4816
125,30,5160
126,31,5332
127,30,5160
128,30,5160
129,28,4816
130,30,5160
131,30,5160
132,23,3956
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,1,172
180,12,2087
181,29,5046
182,28,4872
183,32,5619
184,44,7744
185,54,9504
186,57,10032
187,59,10384
188,58,10208
189,56,9856
190,48,8448
191,50,8800
192,33,5808
193,55,9680
194,47,8272
195,53,9328
196,50,8800
197,44,7744
198,27,4752
199,3,528
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,1,176
236,0,0
237,0,0
238,0,0
239,0,0
240,14,2464
241,31,5456
242,32,5626
243,30,5227
244,30,5220
245,36,6264
246,46,8003
247,36,6228
248,37,6401
249,41,7093
250,55,9515
251,37,6401
252,33,5709
253,32,5536
254,30,5190
255,29,5017
256,30,5190
257,1,173
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,12,2074
301,26,4472
302,28,4816
303,30,5160
304,27,4644
305,49,8428
306,57,9804
307,56,9632
308,57,9804
309,54,9288
310,50,8600
311,43,7396
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,10,1720
361,26,4477
362,26,4498
363,32,5536
364,44,7612
365,56,9647
366,60,10320
367,60,10320
368,60,10320
369,59,10148
370,52,8944
371,52,8944
372,46,7912
373,43,7396
374,58,9976
375,59,10148
376,56,9632
377,54,9288
378,36,6192
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,1,172
420,16,2752
421,31,5332
422,36,6192
423,35,6020
424,41,7080
425,44,7612
426,40,6920
427,36,6228
428,41,7093
429,41,7093
430,38,6574
431,33,5709
432,29,5017
433,30,5190
434,27,4671
435,29,5017
436,29,5017
437,29,5017
438,29,5017
439,29,5017
440,29,5017
441,30,5190
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,1,173
