
,TCP,
interval,frames,Bytes
1,44,7832
2,34,6052
3,29,5145
4,32,5650
5,38,6730
6,50,8877
7,53,9342
8,55,9688
9,59,10384
10,57,10032
11,49,8622
12,57,10032
13,60,10560
14,60,10560
15,39,6864
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,1,176
26,0,0
27,0,0
28,0,0
29,0,0
30,4,700
31,30,5258
32,30,5262
33,30,5278
34,30,5310
35,30,5310
36,30,5310
37,30,5310
38,30,5310
39,17,3009
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,1,177
56,0,0
57,0,0
58,0,0
59,0,0
60,3,534
61,31,5518
62,53,9434
63,39,6942
64,35,6230
65,36,6399
66,36,6372
67,37,6549
68,50,8850
69,19,3363
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,2,354
91,33,5862
92,33,5874
93,30,5340
94,31,5518
95,33,5874
96,33,5874
97,35,6230
98,40,7120
99,44,7832
100,43,7654
101,36,6408
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,2,356
111,0,0
112,0,0
113,0,0
114,0,0
115,1,178
116,0,0
117,0,0
118,0,0
119,0,0
120,2,356
121,19,3382
122,31,5518
123,37,6586
124,50,8884
125,59,10410
126,60,10620
127,60,10620
128,48,8492
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,19,3344
151,58,10208
152,60,10560
153,50,8800
154,46,8096
155,35,6131
156,38,6650
157,56,9814
158,60,10560
159,60,10560
160,7,1232
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,19,3339
182,32,5632
183,30,5280
184,30,5280
185,31,5456
186,39,6857
187,36,6300
188,38,6650
189,47,8225
190,53,9275
191,55,9625
192,20,3500
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,5,880
211,38,6702
212,43,7619
213,57,10166
214,57,10203
215,59,10556
216,60,10620
217,59,10443
218,40,7080
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,1,177
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,1,177
