,
,CPU,Memory,
Time,%CPU,RAM used
0,74,147988
1,75,156188
2,66,172108
3,79,172924
4,126,228856
5,109,228428
6,65,228880
7,90,230860
8,114,234440
9,105,243348
10,111,248616
11,104,254388
12,108,255020
13,108,258684
14,111,267988
15,115,281388
16,112,297272
17,114,316124
18,112,340252
19,111,363712
20,102,381676
21,100,381676
22,92,381676
23,21,381840
24,24,381840
25,20,381840
26,19,381840
27,19,381840
28,20,381840
29,19,381840
30,21,381840
31,20,381840
32,22,381856
33,19,381856
34,19,381856
35,20,381856
36,20,381856
37,19,381856
38,19,381856
39,20,381856
40,20,381856
41,19,381856
42,20,381856
43,19,381856
44,19,381856
45,20,381856
46,20,381856
47,19,381856
48,20,381856
49,20,381856
50,19,381856
51,20,381856
52,19,381856
53,20,381856
54,40,381856
55,20,381856
56,19,381856
57,20,381856
58,19,381856
59,20,381856
60,39,381856
61,65,384092
62,79,387980
63,110,394568
64,111,402208
65,117,413920
66,119,436076
67,114,466668
68,106,484572
69,101,484572
70,100,484572
71,61,484572
72,19,484572
73,20,484572
74,19,484572
75,20,484572
76,19,484572
77,20,484572
78,20,484572
79,19,484572
80,20,484572
81,20,484572
82,19,484572
83,20,484572
84,19,484572
85,19,484572
86,20,484572
87,20,484572
88,19,484572
89,20,484572
90,19,484572
91,20,484572
92,20,484572
93,19,484572
94,19,484572
95,20,484572
96,19,484572
97,20,484572
98,20,484572
99,19,484572
100,20,484572
101,20,484572
102,19,484572
103,20,484572
104,19,484572
105,19,484572
106,20,484572
107,19,484572
108,21,484572
109,27,484572
110,52,484572
111,18,484572
112,26,484572
113,20,484560
114,39,484560
115,25,484548
116,20,484548
117,20,484548
118,19,484548
119,20,484548
120,65,484548
121,81,494604
122,82,502500
123,126,542796
124,112,573756
125,105,581116
126,101,586124
127,99,586152
128,101,586152
129,100,586152
130,99,586152
131,101,586152
132,79,586152
133,19,586152
134,19,586152
135,20,586152
136,20,586152
137,19,586152
138,19,586152
139,20,586152
140,20,586152
141,19,586152
142,19,586152
143,20,586152
144,19,586152
145,20,586152
146,20,586152
147,19,586152
148,19,586152
149,20,586152
