,
,CPU,Memory,
Time,%CPU,RAM used
0,34,156784
1,57,157304
2,89,166784
3,81,173652
4,120,229456
5,69,235992
6,106,234228
7,115,236012
8,110,243984
9,105,249372
10,109,253444
11,108,259168
12,108,266924
13,110,269612
14,112,280728
15,110,291072
16,113,305300
17,111,326588
18,112,350804
19,110,373108
20,101,386644
21,100,386644
22,70,386644
23,20,386644
24,20,386644
25,25,386644
26,19,386644
27,20,386644
28,19,386644
29,19,386644
30,26,386644
31,106,388928
32,111,400176
33,109,406352
34,111,411920
35,117,426936
36,124,454340
37,113,487324
38,100,493776
39,99,493776
40,101,493776
41,73,493776
42,19,493776
43,20,493776
44,20,493776
45,19,493776
46,20,493776
47,19,493776
48,20,493776
49,19,493776
50,20,493776
51,19,493776
52,19,493776
53,20,493776
54,19,493776
55,28,493776
56,20,493776
57,19,493776
58,19,493776
59,20,493776
60,29,493776
61,106,499868
62,118,525476
63,119,551220
64,116,577988
65,104,589076
66,100,595092
67,100,595092
68,99,595092
69,100,594764
70,101,594764
71,68,594764
72,19,594764
73,20,594764
74,20,594764
75,19,594764
76,19,594764
77,21,594764
78,18,594764
79,21,594764
80,19,594764
81,19,594764
82,20,594764
83,19,594764
84,20,594764
85,20,594764
86,20,594764
87,19,594764
88,19,594764
89,19,594764
90,44,594764
91,99,594876
92,101,595872
93,105,601024
94,106,611384
95,100,618200
96,99,619096
97,100,619728
98,101,620072
99,99,620072
100,100,620072
101,100,620072
102,100,620072
103,100,620072
104,25,620072
105,20,620072
106,19,620072
107,19,620072
108,20,620072
109,20,620072
110,29,620072
111,19,620072
112,21,620072
113,20,620068
114,20,620068
115,29,620052
116,21,620052
117,19,620052
118,19,620052
119,20,620052
120,28,620052
121,83,620348
122,100,622172
123,108,631336
124,105,648096
125,111,662056
126,100,672084
127,98,672404
128,97,672404
129,101,672404
130,91,672404
131,18,672404
132,20,672404
133,19,672404
134,20,672404
135,20,672404
136,20,672404
137,18,672404
138,20,672404
139,19,672404
140,20,672404
141,19,672404
142,20,672404
143,19,672404
144,20,672404
145,19,672404
146,20,672404
147,19,672404
148,20,672404
149,19,672404
150,71,672408
151,104,674556
152,111,683924
153,111,700748
154,114,716576
155,110,735608
156,96,740392
157,99,740392
158,99,740392
159,100,740392
160,100,740392
161,96,740392
162,21,740392
163,20,740392
164,19,740392
165,21,740392
166,18,740392
167,20,740392
168,20,740392
169,18,740392
170,20,740392
171,20,740392
172,19,740392
173,20,740392
174,20,740392
175,19,740392
176,20,740392
177,20,740392
178,19,740392
179,19,740392
180,43,740392
181,97,743984
182,106,750860
183,107,764960
184,113,781168
185,108,797324
186,108,810176
187,107,830276
188,96,833496
189,99,833520
190,100,833520
191,100,833520
192,100,833520
193,100,833520
194,55,833520
195,20,833520
196,20,833520
197,19,833520
198,20,833520
199,19,833520
200,20,833520
201,19,833520
202,20,833520
203,19,833520
204,20,833520
205,19,833520
206,20,833520
207,19,833520
208,20,833520
209,19,833520
210,63,833524
211,102,837736
212,111,848332
213,99,851600
214,98,851920
215,98,851920
216,99,851920
217,98,851920
218,44,851920
219,20,851920
220,18,851920
221,20,851920
222,20,851920
223,19,851920
224,20,851920
225,19,851920
226,20,851920
227,20,851920
228,19,851920
229,20,851920
230,22,851920
231,20,851920
232,20,851920
233,19,851920
234,19,851920
235,23,851920
236,23,851920
237,20,851920
238,19,851920
239,19,851920
