
,TCP,
interval,frames,Bytes
1,300,246060
2,144,104309
3,207,146153
4,228,145855
5,188,115456
6,242,147377
7,460,366460
8,295,228172
9,135,83334
10,130,92516
11,68,34242
12,107,79113
13,130,90752
14,179,150771
15,258,223259
16,222,198953
17,286,255633
18,274,248574
19,276,231591
20,0,0
21,3,262
22,0,0
23,2,132
24,4,264
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,8,1924
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,3,262
42,4,264
43,0,0
44,0,0
45,2,132
46,9,594
47,7,432
48,2,132
49,0,0
50,2,132
51,3,262
52,2,132
53,7,1165
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,28,20621
61,95,56604
62,145,110700
63,137,103939
64,263,229631
65,303,322175
66,335,342312
67,324,309186
68,51,33340
69,0,0
70,0,0
71,3,262
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,3,198
81,3,262
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,4,264
88,0,0
89,0,0
90,0,0
91,13,922
92,8,498
93,2,132
94,0,0
95,2,132
96,0,0
97,2,132
98,0,0
99,0,0
100,0,0
101,3,262
102,0,0
103,0,0
104,0,0
105,0,0
106,2,132
107,0,0
108,0,0
109,0,0
110,0,0
111,3,262
112,10,1363
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,38,30716
121,210,239536
122,378,450695
123,406,447450
124,200,168835
125,116,102930
126,24,21641
127,0,0
128,0,0
129,6,396
130,0,0
131,3,262
132,4,264
133,0,0
134,2,102
135,0,0
136,10,660
137,6,396
138,2,132
139,0,0
140,2,132
141,3,262
142,2,132
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,3,262
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,3,262
162,0,0
163,0,0
164,0,0
165,0,0
166,2,132
167,0,0
168,0,0
169,0,0
170,0,0
171,5,364
172,0,0
173,1,60
174,4,258
175,1,60
176,1,60
177,5,324
178,1,60
179,1,60
180,1,60
181,52,27856
182,90,56643
183,152,104803
184,208,199009
185,55,40077
186,15,23454
187,7,8918
188,5,8087
189,0,0
190,0,0
191,3,262
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,3,262
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
