
,TCP,
interval,frames,Bytes
1,210,155720
2,338,261096
3,224,125103
4,394,296710
5,388,298221
6,353,255159
7,457,363609
8,374,285121
9,140,92861
10,115,85956
11,111,77924
12,176,139468
13,147,110906
14,160,140093
15,218,177422
16,204,181220
17,254,228900
18,287,260496
19,262,230815
20,91,79127
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,3,262
29,0,0
30,5,1662
31,93,66726
32,196,161737
33,134,99777
34,157,132969
35,278,282941
36,411,459005
37,395,393012
38,12,5070
39,0,0
40,0,0
41,0,0
42,0,0
43,4,264
44,2,132
45,2,132
46,0,0
47,4,264
48,11,790
49,2,132
50,2,132
51,0,0
52,0,0
53,7,1165
54,4,264
55,0,0
56,0,0
57,0,0
58,3,262
59,0,0
60,5,1662
61,188,208306
62,274,341408
63,353,374694
64,332,356844
65,112,107369
66,63,66709
67,6,2514
68,9,658
69,4,264
70,8,528
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,3,262
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,7,526
89,1,66
90,3,198
91,23,16536
92,73,50212
93,110,89472
94,174,177004
95,77,75927
96,35,33407
97,17,9590
98,8,8361
99,2,132
100,2,132
101,0,0
102,0,0
103,0,0
104,0,0
105,2,132
106,0,0
107,0,0
108,3,262
109,0,0
110,0,0
111,0,0
112,0,0
113,10,1363
114,0,0
115,0,0
116,0,0
117,0,0
118,3,262
119,0,0
120,5,1663
121,5,300
122,38,34387
123,209,202997
124,237,235993
125,270,259067
126,177,168327
127,0,0
128,3,262
129,0,0
130,0,0
131,0,0
132,0,0
133,4,264
134,0,0
135,4,264
136,0,0
137,4,264
138,11,790
139,2,132
140,2,132
141,0,0
142,0,0
143,0,0
144,0,0
145,4,264
146,0,0
147,0,0
148,3,262
149,0,0
150,1,843
151,84,59509
152,203,161604
153,310,263758
154,569,468873
155,626,572863
156,414,376479
157,0,0
158,3,262
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,2,132
166,0,0
167,0,0
168,3,262
169,0,0
170,0,0
171,0,0
172,0,0
173,1,60
174,4,258
175,1,60
176,1,60
177,1,60
178,8,586
179,1,60
180,5,324
181,109,91796
182,241,193507
183,477,398507
184,601,553007
185,578,519800
186,352,322831
187,392,358972
188,135,114718
189,0,0
190,4,264
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,3,262
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,3,262
209,0,0
210,2,132
211,181,143528
212,516,441724
213,224,180277
214,103,89713
215,11,696
216,0,0
217,0,0
218,3,262
219,0,0
220,0,0
221,0,0
222,0,0
223,4,264
224,0,0
225,4,264
226,0,0
227,3,198
228,12,856
229,2,132
230,2,132
231,0,0
232,0,0
233,1,60
234,3,192
235,7,456
236,1,60
237,5,324
238,5,388
239,2,126
240,3,192
