
,TCP,
interval,frames,Bytes
1,159,222462
2,385,674645
3,198,82437
4,413,329565
5,242,143227
6,160,69954
7,173,129637
8,277,244118
9,127,53621
10,162,109180
11,122,60607
12,149,96318
13,130,33778
14,110,24474
15,90,43214
16,155,109980
17,88,26450
18,107,85526
19,111,31713
20,76,14700
21,120,38470
22,104,28750
23,81,15986
24,53,6520
25,461,450768
26,316,276027
27,173,57791
28,96,36162
29,143,95066
30,74,33095
31,172,62780
32,337,184716
33,255,224911
34,206,126598
35,192,89261
36,172,57226
37,196,87240
38,149,130560
39,156,103432
40,97,20015
41,146,104715
42,170,111796
43,84,31094
44,65,18320
45,99,18903
46,151,45253
47,248,199480
48,224,104267
49,101,32245
50,135,81940
51,118,72024
52,109,76962
53,142,90372
54,451,478428
55,152,35619
56,184,111369
57,253,236505
58,349,331346
59,216,183702
60,48,17617
61,271,228871
62,600,583434
63,432,462971
64,331,302988
65,191,196402
66,146,121624
67,283,359931
68,54,24314
69,204,298560
70,107,67256
71,107,54094
72,75,61319
73,597,609836
74,400,396625
75,54,17248
76,133,95792
77,103,106359
78,131,97630
79,162,306946
80,65,57475
81,57,12326
82,44,5762
83,46,16066
84,62,32925
85,108,154890
86,107,198506
87,54,22438
88,70,29582
89,111,154313
90,42,25824
91,326,273518
92,378,299883
93,234,180080
94,165,88406
95,107,34169
96,138,49585
97,196,94877
98,133,78390
99,98,43043
100,125,83528
101,94,85623
102,70,50539
103,81,57703
104,136,175223
105,211,260013
106,356,665894
107,124,207699
108,53,11782
109,67,14575
110,133,174905
111,256,613811
112,763,1595020
113,293,433097
114,128,80607
115,448,1002034
116,22,2858
117,36,14924
118,58,28026
119,33,4052
120,79,25583
121,192,78272
122,179,75236
123,170,113034
124,198,117873
125,253,147569
126,170,49792
127,122,37750
128,179,73709
129,249,201483
130,153,61989
131,74,44006
132,85,25368
133,265,225073
134,271,252643
135,885,887598
136,151,146336
137,293,451707
138,445,793524
139,245,433724
140,245,378607
141,54,32806
142,59,12782
143,58,7460
144,119,157067
145,190,336101
146,115,118135
147,58,23050
148,56,60507
149,3,262
150,0,0
151,388,276289
152,332,219920
153,465,463647
154,738,723922
155,290,129409
156,429,347826
157,224,136219
158,432,392367
159,191,114601
160,411,376217
161,1003,1075258
162,190,226071
163,73,30451
164,64,100852
165,0,0
166,0,0
167,0,0
168,0,0
169,3,262
170,0,0
171,0,0
172,3,198
173,0,0
174,3,262
175,0,0
176,0,0
177,0,0
178,0,0
179,3,262
180,44,23102
181,599,507520
182,233,172348
183,141,52353
184,122,39036
185,139,40631
186,135,65868
187,140,42170
188,140,82912
189,200,165808
190,136,93782
191,90,48043
192,97,63247
193,210,313534
194,160,240360
195,60,21882
196,39,20232
197,56,17144
198,84,10742
199,130,96757
200,59,23345
201,125,277555
202,492,1020122
203,24,13392
204,49,21672
205,64,18484
206,94,144839
207,72,14372
208,60,23234
209,21,7712
210,0,0
211,213,116562
212,97,43608
213,139,59906
214,123,40098
215,213,169779
216,233,131609
217,263,360206
218,167,190292
219,129,151477
220,221,325258
221,133,71066
222,80,62526
223,72,14358
224,177,251644
225,71,62470
226,82,78054
227,130,144142
228,305,333966
229,397,548951
230,205,308069
231,108,116472
232,156,100177
233,74,48232
234,73,14430
235,72,9250
236,187,366316
237,58,33208
238,24,13414
239,46,60568
240,109,198831
