,
,CPU,Memory,
Time,%CPU,RAM used
0,100,145716
1,110,154420
2,70,170568
3,59,171624
4,120,205284
5,149,232132
6,110,232392
7,62,237000
8,116,243708
9,114,255100
10,110,259460
11,107,264212
12,111,268912
13,108,278032
14,111,287152
15,112,298680
16,113,315612
17,112,329808
18,114,347392
19,122,368160
20,110,393040
21,100,393040
22,30,393040
23,19,393040
24,26,393040
25,20,393040
26,19,393040
27,19,393040
28,19,393040
29,20,393040
30,41,393040
31,112,396828
32,45,400312
33,111,402596
34,111,405392
35,114,411860
36,112,418656
37,110,424912
38,109,431408
39,112,435400
40,109,440508
41,110,443008
42,111,447272
43,116,456196
44,109,465272
45,113,471176
46,111,475832
47,110,476848
48,119,483452
49,110,493876
50,111,502468
51,112,505112
52,109,509492
53,115,518428
54,112,532036
55,111,541224
56,112,552728
57,109,564892
58,109,573484
59,112,587304
60,108,599576
61,109,602072
62,80,609680
63,72,611828
64,110,616868
65,118,634692
66,112,650832
67,113,661644
68,107,675888
69,112,690048
70,112,705988
71,113,723372
72,107,740344
73,100,740344
74,46,740344
75,18,740344
76,20,740344
77,20,740344
78,19,740344
79,20,740344
80,19,740344
81,20,740344
82,19,740344
83,19,740344
84,20,740344
85,19,740344
86,20,740344
87,19,740344
88,20,740344
89,20,740344
90,34,740344
91,98,741940
92,114,757848
93,110,768804
94,115,773632
95,120,782900
96,116,789612
97,109,805436
98,116,812368
99,118,831180
100,112,844688
101,115,867480
102,113,882260
103,114,899388
104,115,915536
105,101,920344
106,100,920344
107,55,920344
108,19,920344
109,20,920344
110,32,920344
111,20,920344
112,19,920344
113,22,920348
114,19,920348
115,27,920348
116,21,920352
117,20,920352
118,19,920352
119,20,920352
120,44,920352
121,114,931472
122,106,937672
123,48,939060
124,103,941556
125,106,948412
126,108,955664
127,106,960244
128,107,966076
129,110,968304
130,110,978500
131,108,985680
132,112,989544
133,114,1001836
134,117,1010808
135,118,1035844
136,115,1053060
137,116,1065688
138,103,1065716
139,99,1065716
140,100,1065716
141,101,1065716
142,99,1065716
143,100,1065716
144,101,1065716
145,100,1065716
146,100,1065716
147,101,1065716
148,99,1065716
149,101,1065716
150,52,1065716
151,114,1066024
152,109,1068928
153,109,1073728
154,109,1079508
155,109,1085632
156,109,1094492
157,115,1104748
158,104,1104880
159,100,1104880
160,100,1104880
161,100,1104880
162,26,1104880
163,19,1104880
164,20,1104880
165,20,1104880
166,19,1104880
167,20,1104880
168,19,1104880
169,19,1104880
170,28,1104880
171,20,1104880
172,19,1104880
173,22,1104884
174,20,1104884
175,22,1104884
176,19,1104864
177,19,1104864
178,20,1104864
179,19,1104864
180,51,1104864
181,108,1105192
182,106,1105320
183,116,1105556
184,114,1106056
185,113,1106060
186,106,1106600
187,109,1106620
188,105,1106732
189,114,1107008
190,120,1106124
191,116,1106248
192,118,1107684
193,120,1108132
194,117,1108360
195,118,1109056
196,126,1110500
197,124,1110944
198,134,1111300
199,112,1111576
200,101,1111576
201,99,1111576
202,101,1111576
203,99,1111576
204,101,1111576
205,100,1111576
206,100,1111576
207,101,1111576
208,100,1111576
209,99,1111576
210,106,1111576
211,112,1112060
212,116,1112720
213,124,1112872
214,152,1119716
215,142,1122996
216,122,1124148
217,124,1125524
218,111,1125136
219,110,1125360
220,108,1125704
221,116,1125900
222,110,1125900
223,100,1126420
224,100,1126420
225,100,1126420
226,101,1126420
227,100,1126420
228,100,1126420
229,100,1126420
230,100,1126420
231,101,1126420
232,99,1126420
233,101,1126420
234,100,1126420
235,100,1126420
236,100,1126420
237,100,1126420
238,101,1126420
239,99,1126420
