,
,CPU,Memory,
Time,%CPU,RAM used
0,60,145144
1,55,155496
2,64,166020
3,108,171008
4,138,214308
5,162,240520
6,67,245976
7,103,247200
8,122,256820
9,115,262952
10,114,270740
11,108,274496
12,108,277080
13,110,280132
14,110,285148
15,110,289380
16,112,298160
17,110,309504
18,107,318876
19,108,324152
20,109,331476
21,110,339880
22,111,346648
23,110,354676
24,108,360124
25,108,365800
26,113,371932
27,110,382076
28,111,391404
29,125,396884
30,108,398672
31,79,407920
32,73,408172
33,106,410180
34,107,411628
35,109,413868
36,103,416992
37,104,417740
38,108,417740
39,112,425080
40,111,433368
41,109,439224
42,109,445528
43,107,452860
44,115,459560
45,111,467028
46,113,476228
47,118,482760
48,124,509472
49,125,526872
50,114,537364
51,119,548768
52,141,561080
53,155,568192
54,115,587100
55,129,593428
56,152,602848
57,154,611828
58,160,626444
59,166,641236
60,156,659312
61,126,718976
62,66,729712
63,119,733176
64,114,744884
65,111,749344
66,121,762464
67,126,771472
68,132,791656
69,135,812180
70,134,821104
71,160,837832
72,195,896488
73,153,916272
74,134,920060
75,162,932296
76,168,949112
77,219,972052
78,156,982704
79,165,984896
80,206,1003860
81,238,1008220
82,246,1060680
83,203,1099100
84,257,1174244
85,181,1235184
86,181,1262900
87,181,1280172
88,216,1302056
89,180,1336436
90,143,1340132
91,244,1406248
92,159,1190016
93,168,1129760
94,160,1071488
95,104,1070904
96,104,1049924
97,104,1045156
98,106,1041560
99,113,1041824
100,109,1042104
101,117,1041196
102,105,1041364
103,106,1040140
104,119,1038516
105,117,1041244
106,116,1045312
107,122,1052492
108,123,1064144
109,124,1053920
110,134,1045144
111,157,1046876
112,186,1044296
113,161,1042200
114,143,1039040
115,214,1048772
116,230,1093368
117,191,1132992
118,188,1163640
119,161,1087136
120,205,1150252
121,142,1152000
122,129,1147100
123,95,1132128
124,176,1109228
125,137,1089480
126,111,1086908
127,111,1078676
128,107,1078720
129,111,1074744
130,111,1066656
131,120,1058204
132,127,1047460
133,142,1046028
134,130,1047524
135,146,1028712
136,148,1031848
137,162,1024824
138,165,1010924
139,189,1018676
140,183,1001380
141,170,1003696
142,204,1004156
143,221,1013528
144,204,1037772
145,256,1073412
146,260,1142460
147,231,1209112
148,212,1319728
149,217,1342188
150,242,1406988
151,203,1499576
152,166,1350444
153,144,1340944
154,168,1341168
155,160,1205216
156,119,1186660
157,118,1186300
158,116,1184376
159,116,1182064
160,129,1173444
161,159,1171364
162,187,1157620
163,167,1159524
164,198,1135480
165,197,1138688
166,252,1122424
167,264,1110788
168,271,1121056
169,251,1166004
170,263,1223672
171,201,1254932
172,256,1294084
173,228,1379860
174,218,1498988
175,21,1502524
176,19,1502524
177,20,1502524
178,19,1502524
179,20,1502524
180,131,1542956
181,223,1441024
182,167,1259092
183,123,1235348
184,112,1207624
185,107,1207300
186,104,1193920
187,104,1193148
188,108,1192376
189,115,1192900
190,108,1192900
191,109,1190392
192,115,1190392
193,109,1190916
194,109,1190668
195,111,1187352
196,115,1166224
197,114,1166412
198,112,1163084
199,130,1162232
200,130,1161624
201,144,1162500
202,161,1138184
203,150,1139632
204,154,1101016
205,201,1115764
206,218,1132036
207,179,1161568
208,168,1074900
209,221,1084720
210,184,1117112
211,122,1115204
212,109,1115464
213,124,1114044
214,117,1113708
215,110,1110896
216,116,1111252
217,119,1109616
218,115,1110056
219,113,1110316
220,117,1109604
221,119,1109796
222,123,1109904
223,117,1110160
224,130,1105856
225,145,1109540
226,159,1110392
227,126,1118732
228,181,1129768
229,170,1148068
230,160,1161388
231,222,1168668
232,156,1152580
233,169,1151988
234,191,1165636
235,163,1156996
236,189,1182092
237,212,1218844
238,227,1307504
239,215,1324808
