
,TCP,
interval,frames,Bytes
1,208,157201
2,204,178660
3,246,222792
4,432,382992
5,489,419321
6,224,132848
7,363,261078
8,477,389193
9,562,528724
10,411,384945
11,193,161589
12,180,164490
13,174,156944
14,193,172902
15,455,408851
16,380,361515
17,370,337999
18,412,392580
19,307,281896
20,380,366775
21,449,418685
22,357,351566
23,354,349951
24,391,379797
25,344,325893
26,446,433537
27,484,451741
28,308,279168
29,353,316180
30,257,207969
31,138,116311
32,60,35598
33,216,196047
34,146,126818
35,465,435052
36,349,331364
37,121,91736
38,409,397919
39,333,322181
40,456,442075
41,382,361134
42,1062,1166224
43,764,821141
44,537,554700
45,600,645491
46,414,446998
47,527,493538
48,527,490001
49,557,500396
50,567,549176
51,424,404187
52,346,326854
53,377,348691
54,129,97015
55,1022,992594
56,392,348730
57,304,276748
58,444,413198
59,354,334282
60,259,243407
61,446,442217
62,356,307829
63,71,47892
64,385,416327
65,153,138198
66,477,452003
67,275,230855
68,270,304226
69,612,864055
70,409,368205
71,311,288355
72,233,209604
73,314,342307
74,308,297738
75,319,301495
76,373,449749
77,154,141957
78,464,683857
79,481,475117
80,430,437840
81,573,775093
82,489,445587
83,526,500782
84,198,209909
85,382,370843
86,516,511888
87,569,619560
88,464,574603
89,431,400730
90,517,671773
91,332,298803
92,378,312636
93,470,448250
94,355,343735
95,411,377028
96,214,197060
97,168,143644
98,187,166853
99,330,295200
100,261,229117
101,303,267539
102,329,327931
103,523,558888
104,315,313980
105,349,310351
106,476,468001
107,253,222072
108,85,60095
109,235,211402
110,134,121292
111,245,214269
112,843,900868
113,478,451993
114,292,263321
115,620,571968
116,409,377346
117,491,465110
118,442,496669
119,390,346685
120,385,356012
121,182,142182
122,196,172071
123,488,437326
124,460,456842
125,803,822677
126,532,531957
127,428,411330
128,275,267282
129,336,309198
130,300,282527
131,455,417036
132,307,312454
133,344,338437
134,494,468459
135,514,510058
136,352,328758
137,500,487293
138,397,368155
139,480,451524
140,748,709004
141,558,551980
142,994,980532
143,579,618293
144,923,965906
145,630,757398
146,743,816782
147,253,242908
148,504,433279
149,531,505506
150,557,513378
151,379,313065
152,572,502469
153,243,215694
154,300,346167
155,239,239623
156,535,687820
157,361,504651
158,421,420776
159,184,156915
160,524,710315
161,511,619966
162,459,550525
163,459,627267
164,578,589043
165,411,435528
166,453,534892
167,565,836316
168,366,572880
169,414,679368
170,859,1303046
171,457,403328
172,351,575926
173,386,380534
174,563,705627
175,163,145204
176,1,42
177,3,144
178,1,42
179,5,306
180,9,3642
181,217,227545
182,347,335135
183,330,292274
184,488,450350
185,352,326494
186,470,439730
187,151,115492
188,171,154005
189,331,315867
190,246,231170
191,297,266590
192,296,272181
193,397,360913
194,394,370614
195,246,231087
196,282,278720
197,288,273257
198,316,295199
199,57,38790
200,449,419693
201,625,600260
202,342,295418
203,330,265650
204,268,236766
205,296,271855
206,519,476714
207,423,385617
208,537,493385
209,517,467746
210,440,398209
211,617,546920
212,469,428996
213,330,317125
214,719,702404
215,862,877337
216,1371,1498527
217,759,831486
218,732,790460
219,636,648644
220,757,805413
221,1022,1095878
222,574,581036
223,805,868738
224,586,585542
225,595,568027
226,452,432964
227,596,624792
228,569,500858
229,941,1016691
230,531,513108
231,651,638055
232,380,361158
233,415,384389
234,483,467760
235,450,419979
236,653,605450
237,535,503022
238,639,613739
239,545,499423
240,417,386240
