
,TCP,
interval,frames,Bytes
1,507,1162365
2,674,783134
3,267,181563
4,227,164061
5,322,241517
6,150,104381
7,104,79161
8,172,165845
9,117,71749
10,171,86352
11,154,73082
12,134,44573
13,147,55817
14,138,80886
15,109,55662
16,110,70637
17,101,39959
18,90,32821
19,156,84291
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,3,262
26,0,0
27,0,0
28,6,524
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,3,262
36,0,0
37,0,0
38,6,524
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,6,460
46,0,0
47,0,0
48,6,524
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,3,262
56,0,0
57,0,0
58,6,524
59,0,0
60,61,27466
61,197,103721
62,210,106277
63,107,40533
64,156,45438
65,143,25665
66,173,65692
67,165,104599
68,114,28608
69,175,87292
70,183,85021
71,148,40562
72,198,106054
73,160,49698
74,135,43941
75,190,73791
76,157,62340
77,171,102830
78,180,76628
79,164,36487
80,135,32783
81,151,51911
82,138,59257
83,152,77435
84,108,38855
85,192,104904
86,136,102291
87,156,87249
88,121,50017
89,155,105213
90,124,56656
91,160,83009
92,166,83204
93,97,28435
94,158,86486
95,126,49968
96,0,0
97,0,0
98,6,524
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,3,262
106,0,0
107,0,0
108,6,524
109,7,1165
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,3,262
116,0,0
117,0,0
118,6,524
119,0,0
120,154,53048
121,246,64770
122,187,55921
123,140,29076
124,152,72342
125,157,85735
126,202,119955
127,184,112833
128,172,92117
129,157,86273
130,98,58407
131,118,104936
132,0,0
133,0,0
134,0,0
135,3,262
136,0,0
137,0,0
138,6,524
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,3,262
146,0,0
147,0,0
148,6,524
149,0,0
150,0,0
151,0,0
152,3,198
153,0,0
154,0,0
155,6,460
156,3,198
157,0,0
158,6,524
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,3,262
166,0,0
167,0,0
168,6,524
169,0,0
170,3,198
171,0,0
172,0,0
173,0,0
174,0,0
175,3,262
176,0,0
177,0,0
178,6,524
179,0,0
180,97,34197
181,286,180456
182,351,191921
183,139,57734
184,240,168284
185,220,76051
186,219,121139
187,220,138843
188,143,95681
189,162,77634
190,166,118167
191,105,59200
192,85,63425
193,33,17515
194,0,0
195,3,262
196,0,0
197,0,0
198,6,524
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,3,262
206,0,0
207,0,0
208,6,524
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,3,262
216,0,0
217,0,0
218,6,524
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,3,262
226,0,0
227,0,0
228,6,524
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,3,262
236,0,0
237,0,0
238,3,262
239,3,262
240,120,23385
241,289,173447
242,136,52709
243,122,40925
244,89,49343
245,117,51229
246,121,34760
247,183,96427
248,148,69059
249,138,62235
250,111,31444
251,144,51072
252,142,79078
253,109,65226
254,95,29807
255,116,42058
