
,TCP,
interval,frames,Bytes
1,68,8144
2,813,1960410
3,394,651830
4,252,201180
5,801,1255518
6,195,220670
7,128,87834
8,141,90117
9,182,265449
10,124,36319
11,119,43033
12,118,52941
13,80,19614
14,110,59109
15,76,36539
16,82,25040
17,89,39022
18,90,36268
19,89,30900
20,115,47391
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,3,262
28,0,0
29,3,262
30,24,10502
31,345,198486
32,263,150280
33,325,214180
34,200,95535
35,134,53831
36,97,37064
37,113,59219
38,157,77861
39,59,24735
40,3,262
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,3,262
48,0,0
49,3,262
50,3,262
51,0,0
52,0,0
53,3,198
54,0,0
55,0,0
56,0,0
57,3,262
58,0,0
59,3,262
60,5,494
61,84,50232
62,469,310828
63,469,273420
64,695,386848
65,476,300179
66,448,270435
67,126,72337
68,0,0
69,3,262
70,6,460
71,0,0
72,6,396
73,0,0
74,0,0
75,0,0
76,0,0
77,3,262
78,0,0
79,3,262
80,0,0
81,3,262
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,3,262
88,0,0
89,3,262
90,18,10876
91,257,166503
92,308,222653
93,274,164066
94,284,176433
95,157,97776
96,26,21649
97,3,262
98,0,0
99,3,262
100,0,0
101,3,262
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,3,262
108,0,0
109,3,262
110,7,1165
111,3,262
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,3,262
118,0,0
119,3,262
120,0,0
121,191,121693
122,362,259993
123,166,107207
124,176,130505
125,105,87628
126,7,680
127,3,262
128,0,0
129,3,262
130,0,0
131,3,262
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,3,262
138,0,0
139,3,262
140,0,0
141,3,262
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,3,262
148,0,0
149,3,262
150,2,232
151,23,14192
152,14,10053
153,134,64518
154,314,133281
155,398,155929
156,167,58293
157,9,958
158,0,0
159,3,262
160,0,0
161,3,262
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,3,262
168,0,0
169,6,460
170,0,0
171,3,262
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,3,262
178,0,0
179,3,262
180,10,1180
181,189,47867
182,317,108054
183,354,185278
184,337,125621
185,225,65564
186,190,72960
187,241,77609
188,131,45372
189,5,502
190,0,0
191,3,262
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,3,262
198,0,0
199,3,262
200,0,0
201,3,262
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,3,262
208,0,0
209,3,262
210,6,694
211,279,118331
212,154,84375
213,67,37025
214,32,8892
215,10,4437
216,0,0
217,0,0
218,3,262
219,3,262
220,0,0
221,3,262
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,3,262
229,3,262
230,0,0
231,3,262
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,3,262
239,3,262
240,5,602
