
,TCP,
interval,frames,Bytes
1,17,3043
2,31,5549
3,30,5363
4,30,5328
5,35,6195
6,45,7881
7,52,9000
8,51,8782
9,58,9960
10,58,9918
11,55,9405
12,60,10260
13,60,10260
14,59,10089
15,59,10089
16,57,9751
17,57,9804
18,58,9976
19,46,7912
20,36,6192
21,36,6192
22,31,5332
23,30,5160
24,16,2752
25,20,3440
26,29,4988
27,29,4988
28,29,4988
29,29,4988
30,30,5160
31,30,5160
32,32,5504
33,38,6536
34,46,7948
35,53,9169
36,59,10207
37,59,10207
38,59,10207
39,59,10207
40,60,10380
41,54,9342
42,53,9169
43,44,7612
44,36,6228
45,33,5709
46,27,4671
47,30,5190
48,29,5017
49,30,5190
50,30,5190
51,30,5190
52,30,5190
53,29,5017
54,28,4844
55,9,1557
56,30,5190
57,30,5190
58,26,4498
59,30,5190
60,30,5190
61,30,5190
62,29,5016
63,31,5332
64,28,4816
65,30,5160
66,35,6020
67,29,4988
68,30,5160
69,30,5160
70,30,5160
71,34,5848
72,37,6364
73,33,5676
74,35,6020
75,33,5676
76,31,5332
77,30,5160
78,29,4988
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,20,3476
92,27,4698
93,30,5223
94,29,5093
95,51,8976
96,55,9680
97,56,9856
98,56,9856
99,59,10384
100,49,8624
101,48,8448
102,59,10384
103,38,6688
104,59,10384
105,52,9152
106,45,7920
107,54,9504
108,52,9152
109,54,9504
110,52,9152
111,48,8448
112,1,176
113,0,0
114,0,0
115,0,0
116,1,176
117,0,0
118,0,0
119,0,0
120,6,1056
121,32,5632
122,32,5632
123,29,5073
124,29,5046
125,30,5220
126,51,8874
127,53,9196
128,40,6920
129,43,7439
130,53,9169
131,55,9515
132,57,9861
133,37,6401
134,39,6747
135,33,5709
136,37,6401
137,31,5363
138,26,4498
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,3,519
151,23,3965
152,28,4816
153,29,4988
154,29,4988
155,40,6880
156,51,8772
157,58,9976
158,58,9976
159,58,9976
160,56,9632
161,55,9460
162,29,4988
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,7,1204
181,26,4472
182,27,4668
183,28,4844
184,38,6574
185,49,8457
186,60,10320
187,60,10320
188,59,10148
189,60,10320
190,58,9976
191,53,9116
192,47,8084
193,53,9116
194,51,8772
195,57,9804
196,58,9976
197,55,9460
198,56,9632
199,51,8772
200,4,688
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,3,516
211,27,4644
212,31,5332
213,33,5676
214,37,6364
215,39,6737
216,46,7958
217,41,7093
218,40,6920
219,57,9861
220,50,8650
221,43,7439
222,37,6401
223,36,6228
224,31,5363
225,27,4671
226,31,5363
227,30,5190
228,29,5017
229,28,4844
230,29,5017
231,28,4844
232,30,5190
233,30,5190
234,30,5190
235,27,4671
236,6,1038
237,1,173
